,oid,timestamp,rpid,uid,uname,content,likes,replies
775,1453113754,1713006890,216708112432,99037692,osmeo,看到很多人刷一路走好，我感觉不太对劲，就又补了一个浩气长存[doge],30,3
1857,1453113754,1712980504,216647071488,1111666147,本来麻,真早,0,0
640,1453113754,1713016667,216733953504,3493111302982576,back_to_glory,这几天在考研调剂，尤其是刚开的前两天每天都在做很多的选择，可是感觉总没有做出好的选择。兰大差一分，哈工程选错方向差一分（选另一个方向进的概率就很大了），华师锁36h啥都不做电话也打不通，最后比我低分的都进面试了。第二天南理南航间选了南航，错失南理，一志愿学校的调剂很晚复试，本来想着前面的学校大概率会上一个，调剂求稳基本不会放弃拟录取再去参加一志愿的调剂，所以就没去报，但是却落了个空空如也，365的分数目前还没有复试通知（本科也还好，一个211）。看着父母担心自己也挺难受的，总是做不出好的选择，虽然有工作保底，但是感觉目前也没做好直接工作的准备。怕自己颓废，努力让自己每天学一些，但是做选择这件事一直不知道怎么去真正做好，也很想做好，不让自己做太多不必要的犹豫[拥抱][拥抱]。,1,0
1206,1453113754,1712987425,216664414464,27360689,阿丽塔酱,杭州有美食吗？,0,0
40,1453113754,1713180725,217020013184,626968668,守衍,杭州好歹有玩的景点，我这合肥想玩去南站坐高铁去南京,0,0
1838,1453113754,1712980546,216647246112,432195945,刘美芳儿分芳,安，杭州美食,0,0
440,1453113754,1713054474,216782911056,266672440,章鱼比章鱼哥帅,@抵抗Resistance 啊？这可太怪了[doge],0,0
1153,1453113754,1712988940,216667574480,1073950686,LxyNeko,tim也在杭州，可以再联动了@影视飓风,1,0
1401,1453113754,1712983405,216654652144,436156871,浦东新区,tim已经主动邀请了,0,0
1779,1453113754,1712980730,216647639552,10328969,穆艺,杭州？美食？[辣眼睛],0,0
176,1453113754,1713104313,216899664848,50273154,飞翔的潘帕斯,来杭州必须得去老余杭尝尝面和老毛油炸炸[doge]欢迎来杭州！,1,0
1658,1453113754,1712981240,216648965248,409242031,不朽の伯爵,省流：又可以让影视飓风帮我改造了呀,0,0
177,1453113754,1713103851,216898508448,250352268,A老湘,房间还是太贵了,0,0
335,1453113754,1713071682,216821022128,62378509,吃蔬菜的犬犬,让我难受的是作为一个北京人，春节我听不到一声鞭炮响声，整个过节的时候如同一座空城，当然有旅游的也有回老家的，拥挤的地方只有庙会，街道上不能说没有氛围，一整个正月路灯上就挂着通电就能亮起来的电灯笼，好像也就点灯笼了， 我记得是05年开放了过春节五环内可以燃放烟花爆竹，那一年烟花爆竹点如同雨后春笋，烟花价格也便宜的离谱，我记得那一年小区里面的集中燃放点就如同下了一场鞭炮雨一样地面上覆盖着整个一层爆竹碎屑，当年我就认为这样搞到处都可以放花然后大家都放完都走了谁也不管剩下的垃圾会让清理人员工作量大增，也有着火的安全隐患，我思考是不是政策上会开始规定集中的有人管理下燃放区域，然后也可以顺便以燃放烟花为核心带动周边建立庙会等一体化的文化娱乐项目，但是似乎作为管理者都不会选择如此费劲的安排，而且一旦这样安排的聚在一起如果有人受伤，和自己去燃放受伤了那性质也不一样了，就需要有人对此负责，所以就变成了05年开放然后可能是因为监管和税收的连年提高，炮价是越来越贵，05年那年好像一挂鞭炮也就20 30块钱1000响的可能贵一点，礼花小一点的都是几十块，很大的会上百，如果200 300的那就是很震撼的，那一年就放花我们家里就花了小5000块钱，也是因为第一年开放的原因，之后炮价连年提升，到最后可能一挂鞭炮都要100多，小花都要200 300，反而没什么人买了，我们家里那几年更是一个烟花都没有放，因为感觉特别不值，然后似乎管理的人觉得时机到了，下达了禁止燃放的禁令，北京春节时候再也听不到一声炮响，看不到一个烟花的绽放。北京是一个各种规定和制度严格管控下的城市，有一天突然下达规定买车要摇号好家伙，我摇了十年了愣就杳无音信，现在不是说消费不好想刺激消费吗？那这十年摇不到号怎么消费，人一辈子有几个十年呢，不给就说不给不要把摇到的概率搞的如同买彩票一样。,30,10
1663,1453113754,1712981200,216648768848,18558154,善良菜鸟,欢迎来杭,0,0
1830,1453113754,1712980557,216647181232,249155535,你身后youwo,"哇塞 毕导您来杭啦[星星眼][星星眼][星星眼]
期待有机会线下见面[打call][打call][打call]",0,0
16,1453113754,1713193425,217051943968,64326682,会更好的大冬瓜,[doge]杭州哪个区呀？能有幸参观一下你们工作室吗？杭州六年，也计划回长沙了[无语],0,0
1539,1453113754,1712982155,216651269872,9216337,怯梦づ,[脱单doge]期待和毕导偶遇,0,0
27,1453113754,1713187176,217035353808,334190803,hanfeiyang1234,我们公司就在你们公司对面的中源科技大厦，哈哈哈，你们楼下有个早餐店卖胡辣汤的，我经常去。缘分啊，你们离开了北京后的第二天，我看到了这个视频。,0,0
293,1453113754,1713080445,216841444896,52061015,摸鱼_小达人,杭州可不止西湖那一圈，郊区建德淳安那边的菜超级好吃，非常建议去尝一尝。萧山的本地菜其实也不错，很多蒸菜鲜的不行。市区嘛，那就去肯德基麦当劳吧。[doge],0,0
493,1453113754,1713028838,216763798224,11274368,__Ninja__,有北京户口，毕业总包45w，到现在工作了三年了，按理说基本能活吧。但是中间真的无数次想走，其实也在规划了。但到了真走的时候又有一点舍不得，可能是小时候家里人在北京假期来了无数次，也可能是这半年多每周的徒步，可能是北京各式各样的公园和人文景点，想了想好像很多地方又没有走过，想真的应该多走走看看，总之很复杂的心情，也不知道为什么要走。总之，无论如何生活方式，希望大家都能过好自己的一生吧。,137,18
496,1453113754,1713028353,216762986464,11914281,刺客面条呀,@影视飓风 来活了[脱单doge],0,0
969,1453113754,1712997066,216684350320,384727141,李伟LeviAckerman,08:41 此处@影视飓风 Tim[哦呼][哦呼],0,0
1102,1453113754,1712990812,216671347200,30881002,BBACACBDAB,突然发现毕导跟我是半个老乡,0,0
1200,1453113754,1712987617,216664710000,441094670,--畅知--,IP属地还未改变嘞[脱单doge],1,0
1214,1453113754,1712987181,216663757088,30896631,rikaruko,本科要毕业了 正准备离开杭州去北京读研,1,0
297,1453113754,1713080366,216841223296,19905141,散步小鬼,加油加油,0,0
1530,1453113754,1712982236,216651536512,5288130,老羊就随便叨叨,杭州确实网红，直播，电商资源更丰富，毕导去杭州是好的，有机会来苏州玩玩呀，毕竟出了杭州美食就多了[鼓掌],0,1
1996,1453113754,1712980346,216646763136,1156260018,星星触电k,第一,0,0
387,1453113754,1713065854,216805708448,479909612,zhaolei03,从感情来说，应该回自己的故乡,0,0
1561,1453113754,1712981913,216650747840,24315282,halahalala2,@影视飓风 改造计划…[脱单doge][脱单doge],5,0
472,1453113754,1713034135,216770277488,495089780,寻石_,所以抑郁了怎么办,0,0
342,1453113754,1713070702,216818575184,436296017,镀一层你,这就是剪辑的魅力吗 给孩子看哭了[委屈][委屈][委屈],0,0
1088,1453113754,1712991317,216672487312,6742499,帕鲁_Official,北漂太难了哇[笑哭],0,0
447,1453113754,1713049858,216778340928,32910812,FlyTank,@影视飓风 隔壁楼空着吗[doge],0,0
1308,1453113754,1712984889,216658428784,398307876,Ken_Hamilton,@影视飓风,0,0
726,1453113754,1713009737,216715277104,521786517,中书令同中书门下三品,老乡，给个第五章夹克链接[脱单doge],1,0
1519,1453113754,1712982323,216651734208,357648667,斐信徒,减肥来杭州 （物价高，外卖贵，东西少，菜难吃）,1,0
376,1453113754,1713066684,216807668784,453106277,快船粉丝,毕导没有说离开北京的原因，只说是一拍脑门。他在简介里说了“思考再三”，我想一定是理性思考了很多东西，权衡了很多，房车自己家人同事事业……想了太多最后又没办法跟观众细致地、掰开揉碎了讲，千言万语只汇成一句“是时候离开了”，你问为什么？我只能说，想离开了。,0,0
1864,1453113754,1712980491,216647203360,1208366936,白雪乃愛降臨到我身邊,好新鲜[脱单doge],0,0
587,1453113754,1713020324,216744484416,31636173,_荧惑守心_,民勤 哇 我在武威诶,0,0
1695,1453113754,1712981078,216648583584,443762393,裘布依井流,原来的团队都一起跟来杭州了吗？,0,0
1038,1453113754,1712993862,216677659184,438381959,无信号季节,来杭州啊！,0,0
1249,1453113754,1712986125,216661530288,6256739,蘸甜面酱的黄瓜,所以 下一期是@影视飓风 再打造一个录像间吗 [妙啊],1,0
1620,1453113754,1712981486,216649507584,49894719,綠沈aicher,好巧，我下个月也要从北京搬去杭州了,0,0
697,1453113754,1713012124,216721486592,432568774,GONGMINGHAO-,[龙年][给心心][奋斗][星星眼][点赞][打call][2024],0,0
1555,1453113754,1712981988,216650968496,11623913,是落拓不是骆驼,好家伙欢迎来杭州，我有种路上可以各种偶遇各种up主的感觉（但实际上一次都没有遇到过）,0,0
1876,1453113754,1712980461,216647019616,628540422,不摆烂的居居,有啊有肯德基麦当劳必胜客之类的可好吃了,3,0
454,1453113754,1713044601,216775848640,10281906,乙羽新之,[脱单doge]毕导来杭州可以考虑到我高中母校教书（开玩笑）,1,0
800,1453113754,1713005234,216703876384,13407784,大宽物理,太伤感了，认识的好几个up都离开北京了,717,35
1109,1453113754,1712990531,216670787728,407159684,醉是撩人桂花香,幽默热搜,5,3
731,1453113754,1713009515,216714837968,2101627848,AIM-D,杭州欢迎（杭州土著的欢迎）,1,0
316,1453113754,1713075062,216829487408,161864483,复活节岛的电话,毕导居然是我的初高中校友啊哈哈哈😄,2,0
965,1453113754,1712997136,216684518336,316736,竹枝舞,欢迎来杭州，美食不到啊，我定居10年了也没什么印象深刻的美食。。。,0,0
1934,1453113754,1712980392,216646834928,1319721933,是恒不是桓阿,刚刚,0,0
1473,1453113754,1712982629,216652470656,260302664,聪明一休223,毕导人很nice，没想到我和我爹还能在毕导视频里出个镜,2240,11
116,1453113754,1713146191,216950321072,3460124,麦麸Lmax,我也是10年在北京读书，读了十年，现在在杭州，欢迎你来杭州,1,0
1946,1453113754,1712980381,216646713840,355188072,酸柠檬果子酱,居然是萧山中学的,0,0
401,1453113754,1713063780,216800811952,453902662,成为小尾巴,@影视飓风,0,0
481,1453113754,1713030020,216765496656,3615784,蜜薯糖心,我当时留北京的想法是我奋斗了下一代孩子就不用那么辛苦了，结果，到现在还没有对象。（本人京户有房）留个缘分在这吧。,0,0
511,1453113754,1713026069,216758681840,18980613,我何时才到六级,杭州最近是不是有什么人才引进政策 感觉已经在抢人了 好多up主都过去了,0,0
1599,1453113754,1712981623,216650014928,259867933,洒脱的狂者,给我一个最明显的感觉就是，快递方面，一到特殊时期，北京快递各种限制发货特别不方便，但是杭州就不一样的，各种网购基本都是隔日达就到了，特别方便。,35,17
1810,1453113754,1712980641,216647484848,471139996,是凯岚啊,啊？清华没京户[天官赐福_？？？],0,0
1198,1453113754,1712987665,216664867824,1476851,poests,来杭州，岂不是刚好可以看红警的首个线下赛[doge],0,0
5,1453113754,1713196431,217059704992,217885270,我是小丑acc,现在拖着一个行李箱在马路边，饿得浑身无力[委屈],2,2
1793,1453113754,1712980693,216647608352,23457613,Kimi今天丢什么,典中典之刻板印象,0,0
960,1453113754,1712997357,216684950288,20960240,nevertoolate,"我毕业也在北京生活了多年，之后拖家带口来杭州了，别的优点不说只说一点，终于能开车了！！！

北京不仅摇车牌难，获取摇车牌的资格都tm难！

来到杭州轻松上个电牌儿，没事去城西径山兜兜风露露营，简直太爽了，北京光秃秃的季节杭州还是绿油油，等北京绿油油了杭州五彩斑斓因为街道边都开满了花

总之杭州是个能兼顾工作和生活的城市，欢迎来杭州[脱单doge]",511,30
1064,1453113754,1712992710,216675325312,438313327,哈利路亚大fu师,广西欢迎你,0,0
909,1453113754,1712999709,216690233200,176558770,此间小二,我老婆也是民勤人，在北京互联网，最近一段时间想去杭州发展了,0,0
1089,1453113754,1712991281,216672358256,54438725,蛋子Tamako,卧槽大屯这不就是育慧西里北边这嘛好近,0,0
199,1453113754,1713099420,216887141328,140025650,予春和,杭州特别漂亮，我可以天天呆在西湖边上吹风，晴天赏西湖，雨天赏西湖，各有各的美，乐亦无穷也，当然，杭州好玩的还有很多，就是因为户外太美了，我这样平常很宅的人，也乐得出去散心,2,0
190,1453113754,1713100961,216890879984,589170386,竹林叟,我爸也才到杭州[doge],0,0
117,1453113754,1713143499,216946042784,28854994,sylvanq,博士毕业都拿不到北京户口吗……,0,1
893,1453113754,1713000726,216692534960,3546380035426345,Amy-Li0411,生在北京长在北京因为恋家大概率一辈子住在北京的我 每次别人问我北京有啥好的 我都只能说 嗯 好像没啥 就是有我家吧……,0,0
1528,1453113754,1712982257,216651515824,526866338,她说曾爱,tim:阿弥诺斯[妙啊],1,0
1562,1453113754,1712981911,216650604784,198430492,凝眸云水,老板娘。,0,0
1119,1453113754,1712990058,216669930816,170852450,许诚实,还以为是逐梦演艺圈的毕导,1,0
728,1453113754,1713009720,216715389984,13236225,陈锋ChanPhoon,毕导的视频基本一集不落都看过了，而且还蛮有缘分的，最早我是萧山人，后来划给了杭州滨江，现在住在大屯，离你之前公司也就几百米吧，带过一个同事，说他在学校带过毕导的高分子实验课，最后想问毕导在杭州的公司也不会在我家附近吧？！😃想给孩子要个签名照[呲牙],2,1
337,1453113754,1713071206,216819818528,503986619,櫻花庄的寵物女孩,我可能也要从北京去杭州了[妙啊]待了这些年确实感觉有一种离开的感觉,2,0
732,1453113754,1713009484,216714748224,473643542,14211140,感动，和家人在一起是对的，尤其是父母也老了，真需要照顾的时候，离得近就是最大的优势，还有能亲自带孩子，对孩子也有好处,2,0
126,1453113754,1713141217,216943009344,50780775,就拖看咯,北京给我最大的感受就是三步一查，太幸福了，太有安全感了，赛博1984映入现实。。。至此以后每当公司要求去北京培训我全都拒绝了。,1,0
1205,1453113754,1712987447,216664509792,198713620,墨蝶你去哪里了,搞得我也想去杭州,0,0
1881,1453113754,1712980456,216646935536,4717532,蓝秋VK,美食啊，我推荐麦当劳[脱单doge],0,0
559,1453113754,1713022364,216749888912,260682531,泡菜味果子町,来的好，在杭州等你呀[脱单doge],0,0
898,1453113754,1713000443,216692004752,451658,VivianSnow,我自己在互联网工作，我这样说吧，互联网行业，北京之外一个能打的都没有，互联网这个行业薪资基本都是靠跳槽上去的，内部涨薪都很慢。在北京你就有无数种选择，在上海除了pdd真没有其他能接得住北京互联网薪资的了，b站薪资基本和小米一样都是用爱发电级。在杭州和深圳更严重，因为知道你离开了阿里和腾讯没有其他公司可以去，你害怕被裁，所以卷的一b，而且会故意压职级，压涨薪，杭州奋斗者之都真不是白叫的,3,2
547,1453113754,1713023038,216751563904,36016041,缘过来取look土司5册路,长三角有很多发展不错的特色城市，北方只有北京，其他的有特色发展稀松,1,0
1273,1453113754,1712985459,216659866304,241978812,缘渡今生,我在北中医东校区这边，离我最近的东东翔和毕导都从北京搬去杭州了，三年后博士毕业我也要离开这个政治中心，还是江苏老家更适合我[拥抱]北京太大了，大到十几公里的出行都已经习以为常，无论在哪，举目望去都是成片的写字楼，即使离你最近的人间烟火也在绝对的物理尺度面前觉得有些遥远[跪了],0,0
1369,1453113754,1712983875,216655925616,36428134,deParyure,北京呆久了就是回石家庄觉得啥都便宜,2,0
1080,1453113754,1712991748,216673370048,36323712,Yoakeeeee,“北京是一个适合考试，适合工作，适合学习，但不适合生活的城市”之前考美院的朋友发的，深有感触,1622,15
1831,1453113754,1712980556,216647180048,57224791,limerliu,杭州！美食？,0,0
1449,1453113754,1712982866,216653157280,403691089,难落墨的信纸,我的建议是西湖醋鱼，如果难吃，那就说明选对啦[脱单doge],1,0
1056,1453113754,1712993232,216676411744,347065562,DOGGYYYYYYY,@抵抗Resistance 呐~梦幻联动了噜~,0,0
1486,1453113754,1712982544,216652367264,39247514,Airportspro,啊 我怎么记得之前发过一遍[笑哭],0,0
756,1453113754,1713008122,216711233872,108185595,啊咧笨小孩呀,隐藏嘉宾：@影视飓风,1,0
432,1453113754,1713057662,216787898272,449218417,燕子潜水,杭州来么？那好呀，可以去西湖大学，去跟施一公聊聊天哈哈哈[星星眼][滑稽],7,0
523,1453113754,1713025073,216756467952,376359524,凝睇不语,看到封面第一反应：我要下海了（）,0,0
740,1453113754,1713008724,216712762432,1663703586,揭谛如,十几年大学？家里蹲大学吗,0,0
1091,1453113754,1712991229,216672323904,519330664,休说女子不如男,@大南瓜4869 每次看毕导都有收获,0,0
61,1453113754,1713169352,216994507696,392813092,huahua崽,欢迎毕导来上海玩！,0,0
1049,1453113754,1712993496,216676863408,2406947,坍缩的二叉树,北京租房太贵了，做自媒体的话还是换个地方吧，杭州同行多，成本也低,1,0
