Unnamed: 0,oid,timestamp,rpid,uid,uname,content,likes,replies,index_qingxu,index_manyi,bool_tiwen,bool_taolun,bool_wangeng
5007,1953243927,1713006645,216707499632,169566922,摩拉克斯说,他还是那么爱他的劳力士我哭死,0,0,,,,,
5374,1953243927,1713006315,216706806784,86393268,葵葵爱学习必上岸,快给我再更新10086集[doge][doge][doge][doge],1,0,2,2,1,1,2
3769,1953243927,1713009618,216715019200,370412590,Nicole0522,味儿对了，笑死我了,0,0,3,3,1,1,1
4167,1953243927,1713008245,216711601536,484334686,天天开心的木子,再见了，徐管家,0,0,3,3,1,1,1
4490,1953243927,1713007475,216709576368,676957613,禹尔回首望云舒,好喜欢这版顾总，还有娜娜和赵管家[喜欢],0,0,3,3,1,1,1
1844,1953243927,1713024795,216755965760,241858094,水哇咔咔,太好看了哈哈哈哈还得是你们在一起这个味，太正了忍不住投了两个币[喜欢],5,0,3,3,1,1,1
214,1953243927,1713147121,216951751792,319145578,转角又见千面猫,这个系列能出到第10部在座的各位都有责任[吃瓜],4,0,2,2,1,2,2
129,1953243927,1713167329,216990982336,178130090,喵叽箍,最后的神来之笔,1,0,3,3,1,1,1
2583,1953243927,1713017291,216735672048,30832701,旁观者1号,对我的眼睛很友好，顾总管家都好帅,9,0,3,3,1,1,1
1613,1953243927,1713028116,216762589024,19413801,Amber_AK,看见顾总就知道必然高质量！！！,0,0,3,3,1,1,1
2370,1953243927,1713019272,216741334288,26394301,早西小鱼,第二天醒来，许管家npc刷新：王妈扣20！[妙啊],0,0,3,2,1,1,2
2369,1953243927,1713019276,216741339536,3723632,习习吹人襟,对味儿了,0,0,3,3,1,1,1
611,1953243927,1713083726,216848545168,513012153,玉尘沙,恭喜王妈解锁徐妃皮肤,1,0,3,2,1,1,2
2890,1953243927,1713014683,216728310128,1261390615,盗狐,还得是这个[星星眼],0,0,3,2,1,1,1
2436,1953243927,1713018706,216739679024,290835412,秋霁清酒,赵管家是系统文吗哈哈哈哈哈哈哈哈,6,0,3,2,2,1,2
728,1953243927,1713074794,216828886160,18558720,小艺同学一定会暴富的,财务人听到发票没开够这几个字真的头都大了[笑哭],12,0,2,2,1,1,1
392,1953243927,1713103244,216896829552,13531487,今天也特心动,这个家和王妈适配度100%[妙啊],1,0,3,3,1,1,2
1854,1953243927,1713024681,216755707808,288382019,禾召意,全明星阵容，爱了爱了，味儿对了[doge],1,0,3,3,1,1,1
3894,1953243927,1713009131,216713753696,477400775,林拾亿,许管家可以每次都大喊一声:我一定会回来的！,0,0,3,2,1,1,2
2282,1953243927,1713019884,216743113968,52714846,怎么想也不会错cjc,这集笑毁了，请保持住这个阵容！,0,0,3,3,1,1,1
1399,1953243927,1713035112,216771135792,2688564,本软兔真是气哭惹,笑得最安心的一集[脱单doge],2,0,3,3,1,1,2
1939,1953243927,1713023493,216752706608,12041305,TheMie,啊啊啊啊啊这集特别好,0,0,3,3,1,1,1
2693,1953243927,1713015980,216732039312,118622898,念雪落花飞无晶,Hhhhhhhhh好喜欢啊啊啊啊,0,0,3,3,1,1,1
1363,1953243927,1713039239,216773269168,472900129,爱吸尾巴的红崽崽,还是顾家好看，厉家一点意思都没有[doge],1,0,2,2,1,1,2
2014,1953243927,1713022489,216750152112,590295,闵叙,《重生之我在霸总短剧里当许管家2》,1,0,2,2,1,1,1
3044,1953243927,1713013698,216725720352,664194572,祝吟z,王妈[给心心][给心心][给心心][给心心],0,0,3,2,1,1,1
5499,1953243927,1713006227,216706567984,3493295651031387,沧巫,刚发布就4000多播放量了[doge],1,0,2,2,1,1,2
1105,1953243927,1713061150,216794718688,387649944,贪吃五个樟脑丸的蜈蚣,@清爽的提子 @黄龙江一派全部放丰巢 @北辞CY 古德拜啊啊啊啊哈哈哈哈啊哈，,1,0,2,2,1,1,2
1534,1953243927,1713029800,216765309248,159957709,a_sayooho,狂刷10遍+！！！,0,0,3,2,1,1,1
1684,1953243927,1713026841,216760321888,30739391,天天想吃大烧卖,能不能写一本啊急需,0,1,2,2,2,1,1
1800,1953243927,1713025187,216756715792,39925555,沉水-润心,一键三连后，也去看看被咱们叫来的顾总@小陈不会演戏 https://b23.tv/BV1ax4y1a7zE,1,0,3,2,1,1,1
3646,1953243927,1713010110,216716306960,341669624,无名于嘉名也,"我的天啊，他杀了徐管家
你这个混蛋[脱单doge]",0,0,1,3,1,1,2
1179,1953243927,1713058373,216789364512,1825441503,春卯,完了，那个女孩下集怕不是要坐牢,0,0,1,2,1,1,1
3397,1953243927,1713011554,216720097984,41171315,haihai依念,爱了爱了，投币[打call],0,0,3,3,1,1,1
2735,1953243927,1713015614,216731064704,1431983490,若是潇湘妃子,对味啦,0,0,3,3,1,1,1
2536,1953243927,1713017846,216737334976,381328223,青山白水映江枫,这就是最合适的演员,0,0,3,3,1,1,1
2673,1953243927,1713016260,216732848896,435632567,小松鼠箫箫,喜欢这个阵容！！！！！投币了！！！坚持下去！！！！！,0,0,3,3,1,1,1
3529,1953243927,1713010818,216718073152,15397485,千羽燐,真是这个赛道的神[笑哭],3,0,3,3,1,1,1
31,1953243927,1713191320,217046145712,123427569,传说中的静,有没有保姆是女主的？,0,0,2,2,2,1,1
2863,1953243927,1713014845,216728918640,43038409,来一口橙汁儿_,就是这个味,0,0,3,3,1,1,1
4052,1953243927,1713008614,216712451280,1396161,啊弱弱,许管家真难杀,0,0,2,2,1,1,1
827,1953243927,1713070519,216817967344,11866547,马猴烧酒_已黑化,这集就好看多了，答应我就照着这个阵容王妈、娜娜、顾总、赵管家、死不掉的许管家别换别换人了😭😭😭,2,0,3,3,1,1,1
609,1953243927,1713083902,216848917344,35809180,lumi81938,这集各种对味了,1,0,3,3,1,1,1
2797,1953243927,1713015193,216729823920,30735275,神明不懂人间事,可怜的许管家，梅开二度[吃瓜]不知道他有几个分身。王妈接下来的主线任务是不是一集干掉一个许管家[嗑瓜子][吃瓜],0,0,3,3,1,2,1
2853,1953243927,1713014886,216729051200,3546635871193571,妤枝Q甜,6666,0,0,2,2,1,1,2
3135,1953243927,1713013197,216724297520,431422624,人间理想柏老师,超爱王妈！！！王妈可别出差了 跟顾家锁死！！！！,0,0,3,3,1,1,1
1450,1953243927,1713032735,216768995680,778059,包子屘头,对味了对味了！！这集真好看！,2,0,3,3,1,1,1
