,oid,timestamp,rpid,uid,uname,content,likes,replies
612,1853164381,1713154712,216966431728,28315942,miaoamiao666,期待下一季,0,0
209,1853164381,1713175175,217006143664,1794239,sonw-yuki,拉岛什么时候来的,0,0
668,1853164381,1713154221,216965294592,176046133,梦羽萧萧,商周的？上周的！,14,0
353,1853164381,1713159909,216978370016,6651473,欧拉酱,哪个镜子真的一眼假[傲娇],0,0
379,1853164381,1713158398,216975521680,259265751,一只召唤狮,[doge]预告：BV1sx4y1a78p 3:50:44,291,12
454,1853164381,1713156388,216970809168,5829309,每日早餐,最近总刷到华山论鉴，也点进去看了，里面的人啊真逗，然后现在到拉导了[doge],2,0
393,1853164381,1713157818,216974153904,1970671,甲烷在燃烧,这么看大江户那个集市还是有去头的，毕竟人家就是个当工艺品卖的价。这些东西也确实漂亮，对那些老地毯还挺感兴趣,0,0
45,1853164381,1713190056,217042818304,3546383925644076,面壁者悟空丶,仿制品都做的比这旧。,0,1
622,1853164381,1713154661,216966325488,44065541,欧七君,急死了，催更,0,0
52,1853164381,1713188507,217038747856,613172345,河蟹小丸子,哎呦，给你两个币回回本吧，这是我能做的最大的贡献了[辣眼睛],1,0
638,1853164381,1713154495,216965885952,96389171,古柏青幽幽,播放量1.2万，1.3万+人正在看[doge],0,0
593,1853164381,1713154814,216966692896,15387353,平成时代的福尔摩斯,梦幻联动,0,0
732,1853164381,1713153731,216964061168,24610583,-盖浇面-,毫无争议的新 嘎嘎开门,94,4
92,1853164381,1713184769,217029696192,62633233,断心妍,@手艺贾 老贾什么时候去海淘点儿东西？,0,0
502,1853164381,1713155667,216968912496,584017504,漫长的白曰梦,地摊货怎么会有真货啊，真有的话肯定早被行家收走了,1,5
190,1853164381,1713176353,217008879024,91862358,demon_moi,铜镜肯定是假的，另外两个断代不好说，但肯定是有年头的,2,1
314,1853164381,1713163203,216983882656,352179398,Mr-fengfeng,预告，有俩是真的，杯子和碗是真的老物件,4,3
525,1853164381,1713155387,216968171136,699308,长君,幸好我暂停了,14,3
629,1853164381,1713154590,216966248240,25550571,Eris_贰白,懂了，将从老头那儿进的货拉到东京卖[doge],0,0
235,1853164381,1713173006,217001428576,207355082,红烧迪克,"“我找x老师和x老师，他们都看过了，有人出二百个我都没给”
“买票了吗”
“买了”
“新的，纯新的，毫无争议的新。下一位”",4,0
507,1853164381,1713155605,216968726592,5875438,小杰不会乐理_,天天看泉哥[妙啊]感觉这铜镜是真的 但是国内不允许买卖春秋战国时期的东西[妙啊]东西很开门但是没什么用 瓷器的话感觉有点假,0,0
330,1853164381,1713162115,216982268912,697163416,言叶之庭千言,@听泉鉴定,0,0
747,1853164381,1713153693,216963946736,252967083,我的昵称有甚么不对,[doge],0,0
27,1853164381,1713191841,217047614752,384727141,李伟LeviAckerman,省流：铜镜是仿品[doge][doge][doge],0,0
499,1853164381,1713155741,216969012752,27570329,宇宙星光海,地摊古董还是手艺假厨艺真的那句话，多看少买，抹零减半，八万都是假,5,0
641,1853164381,1713154478,216965874784,2673054,请加95号汽油,"我突然想到一件事
既然拍卖行不保真，那会不会有人专门去日本开“皮包拍卖行”，专门卖咱们赝品？出口按工艺品出口，皮包拍卖行就按“不保真”的古董卖，感觉能规避掉最大的法律风险啊？钱景感觉很可观啊！",14,6
179,1853164381,1713177247,217011172080,14226237,LT银闪,【小哥们带了三件都是真品，甚至还是第一次买古玩，范老师说这算捡漏-哔哩哔哩】 https://b23.tv/9z4ZwU3,14,1
613,1853164381,1713154700,216966359232,32750720,极度懒惰的momo,10:41开始视频画面有些色块失真，是我手机端没选对编解码问题？,1,2
386,1853164381,1713158112,216974863072,4220440,肥橘不会飞,我现在非常期待下一期了，看看有没有范海洋老师的三连新（新的，纯新的，毫无争议的新）。[吃瓜][吃瓜][吃瓜]催更催更！！,0,1
667,1853164381,1713154228,216965233440,11173587,荣二222,期待和白海波老师的合作[doge],9,5
619,1853164381,1713154676,216966407248,176039237,阿拉斯加野犬,看最后的感谢，场外援助是牛道德老师呀[星星眼],5,1
673,1853164381,1713154190,216965175344,652233572,丛-书,[脱单doge],0,0
406,1853164381,1713157472,216973415568,722468,小刀_刀,古董这东西，懂行才能捡漏，不懂的都是被骗[doge],0,0
656,1853164381,1713154353,216965633408,442876590,taco小虾,北京潘家园的即视感[doge],0,0
177,1853164381,1713177400,217011628176,73876855,米斯特焊机,有没有佛头[doge],1,0
451,1853164381,1713156418,216970771520,65398628,xhcisi,范老师如果说是新的你就大声呵斥，胡说八道、这可是我亲自日本拍卖会拍来的！,0,0
644,1853164381,1713154434,216965846304,1570672901,槑孒OAO,lks还是很有钱的，10万保证金说给就给了。虽然说会还回来，但是能拿出来也是说明有一定资金保障的,5,16
281,1853164381,1713167129,216990469040,387971596,alonzo-,新的，纯新的，毫无争议的新,0,1
380,1853164381,1713158393,216975420352,6726384,这票去东京,好期待下期，快出啊！！！！,0,0
632,1853164381,1713154570,216966070880,29631492,Ipsissimusヾ,第二个他们不会以为你是拖吧[笑哭],0,0
642,1853164381,1713154443,216965852464,20496383,爱吃辣条的王同学,应该是1860年代，英法联军请走的文物,0,0
361,1853164381,1713159556,216977653440,1613554,暮尘诶,woc！还真给买到真的了,0,0
664,1853164381,1713154256,216965393328,935405,飞翔的绿先知,新的，纯新的，毫无争议的新[思考],0,0
131,1853164381,1713180619,217019616704,226737,悪魔ネコ,在日本拍卖会干过，他们里面有自己抬价的[笑哭],0,0
532,1853164381,1713155340,216967997200,22050519,昔年长苏,看一个视频三个我关注的up主联动了哈哈哈哈。小红书上关注的飞鸟拍卖，抖音关注的范海洋。,0,0
325,1853164381,1713162281,216982514304,39848339,工藤铃桜,快更新！,0,0
431,1853164381,1713156816,216971810192,84939093,独角流星,找海东听泉看看[滑稽][滑稽][滑稽],0,0
149,1853164381,1713179099,217015832784,34437406,舍长君の魚,记得去华山论鉴的时候买个衣服架子给白海波鉴定鉴定，顺便看看瀚元开不开门[妙啊][妙啊][妙啊],2,0
348,1853164381,1713160251,216978987280,38553105,XCL2024,镜子百分百假的。拍卖行的杯子8分真，地摊的杯子2分真。,1,1
91,1853164381,1713184829,217029677984,39849559,不言辞__,听泉：别人废了好大劲把假货弄出去糊弄小日子，结果被你轻而易举的又买回来了[doge],1,0
309,1853164381,1713163866,216985033088,10617203,McReo,新的，纯新的，毫无争议的新[脱单doge],1,0
87,1853164381,1713185293,217030896784,111850347,AY菌,"因为了解过国宝帮这帮人
我就知道玩古玩十个，里面九个骗子[吃瓜]",0,0
20,1853164381,1713192779,217050135536,3537113123392451,z梨花诗,"第一次亲身体验海外回流，不为价格纯为一个把老东西带回国的心态，个人对这次的三件还是比较满意的，下期揭晓到底是真是假(｡･ω･｡)

*3件均已经过海关申报，由于年代较早，如鉴定为真以后会纯个人收藏
*请遵守文物保护法，通过合法方式进行收藏
感谢@牛道德-道德未央  丨 松松發文物资料君 的场外支持",3,0
