,oid,timestamp,rpid,uid,uname,content,likes,replies
442,1403176677,1713106199,216904822240,1316911743,不莫诺托夫,[思考],0,0
2022,1403176677,1712983187,216654094368,13950652,吃一口番茄茄,不浪费食物不是说做的很难吃也得硬吃，把食物做难吃就已经是浪费了。,0,0
594,1403176677,1713093248,216871593632,3546624760482779,老王对老马,关注了，这才对,0,0
1536,1403176677,1713014503,216727970864,442470930,输个名称半天不过审,这个bgm是哪个版本的呀，找不到[大哭][大哭],0,0
39,1403176677,1713191656,217047036192,152090525,来支红玫瑰吗,为了不浪费粮食还吃坏过身体，到后面本憨憨才发现可以提前说不用打那么多饭quq当时非常耿直地贯彻光盘行动，东西坏了也吃（现在不这样了，坏了虽然舍不得但是一定要丢，医药费更贵）,0,0
2072,1403176677,1712974862,216635215504,612273942,暴食导致四高胰腺炎,要记得往东北大兴安岭漠河地区的路面上丢啊[吃瓜],0,0
734,1403176677,1713085093,216851510896,274670,花濺酒,人类进步了，科技发达了，也忘却了敬畏自然的传统,0,0
500,1403176677,1713101552,216892424880,235732317,落霞丶与孤鹜齐飞,又要到饭啦兄弟们！,0,0
20,1403176677,1713194253,217054131392,37406751,东坡2,看着感觉外国的泡面好吃些（没泡前的质感都不一样,0,1
1725,1403176677,1713006453,216706934448,690457756,本鸟先辉,刚开始认为她吃不完后面真的！直接点了个赞。,0,1
541,1403176677,1713097720,216882833584,3493108121602299,木辛zii,女王大义,0,0
1854,1403176677,1712999320,216689312464,14967288,Bili_14967288,不过看起来她比她城市里的人有钱好多，简直不是一个国家的,0,0
1939,1403176677,1712993350,216676654624,1459889961,朔风阿临,求bgm,0,1
449,1403176677,1713105495,216902939408,23364857,平野heiya,食堂阿姨，教育学校,0,0
849,1403176677,1713077537,216834930576,107554719,大可爱胖虎,先生大义,0,0
1890,1403176677,1712996670,216683562080,3546660506437914,乐辰旭,他用了康师傅一辈子的料,0,0
1471,1403176677,1713017018,216734984256,102667712,timaos,帮助贫困人，建议学习中国扶贫[捂脸][捂脸][捂脸]而这类人我都不好意思戳穿，以前有新闻曝光类似行为，建议圣母们喷我前先查查,0,0
1882,1403176677,1712997171,216684658592,628828736,狼米鹤惜日日深歌,背景音乐Where Is The Love 很能反映当下的世界情况。,1088,7
592,1403176677,1713093418,216872061520,59567508,廿二蛙,感觉今天做的这一餐没啥营养，多加点蔬菜和肉类就好了,0,0
1230,1403176677,1713034668,216770454704,3537118475323621,喵蒲纪,啊！！！女王姐姐！做的饭看起来很好吃[给心心],0,0
941,1403176677,1713071936,216821876928,1442754589,李信多少有点不知好歹,出去看过才知道老外是真地大物博啊，up已经属于是达则兼济天下了[脱单doge],1,0
1962,1403176677,1712990861,216671484672,347668509,YuTT1an,上一辈老喜欢念叨“我们以前苦的时候……”还是挺好的,0,0
1548,1403176677,1713014106,216726972160,1632804236,卡法拉加尔,女王下次可以换《Befall》做bgm吗[脱单doge],1,0
793,1403176677,1713080760,216841983200,32662446,古舟子,好营养啊,0,0
1846,1403176677,1712999632,216690171040,3494365594913564,_闊_,一粥一饭 当思来处不易,0,0
478,1403176677,1713103287,216896996288,53099370,抱琴欲去扰醉眠,对于浪费还有一种逆天观点就是：明知道吃不了还点这么多叫浪费，但是根据我的食量点餐没吃了的就不叫浪费。郝邵文的那个事，我就记得特别清，就这种三观还有不少人认同，我真他么的服了,0,0
288,1403176677,1713151570,216959651408,413076994,你们好强啊之你真鱼,送去巴勒斯坦难民收容所蹲个一年半载的[辣眼睛],0,0
2027,1403176677,1712982577,216652487952,7814129,超惆怅的魂魄穹铃,我给她带来的流量也成为了美味给到了需要的人，也就是我们每个人都参与到了这件善事中，是非常好的,0,0
