,oid,timestamp,rpid,uid,uname,content,likes,replies
5261,669801019,1601476700,3546708380,34886255,兽兽大苏苏,曼哈顿博士：这个我熟！,0,0
2422,669801019,1602733964,3601481270,289616348,账号已注销,这视频我点起三次不感兴趣，还推[笑][笑][笑]立马卸载b站,0,0
5077,669801019,1601479649,3546917530,11481845,夜鹰思言,为了空洞的bgm，这币给了[tv_doge],0,0
4923,669801019,1601483354,3547150726,19898671,存在鲜于本质,"热统老师讲热力学第二定律在非孤立系是不成立的，且不能推广到全宇宙。
视频里对量子力学的理解我觉得有些问题，薛定谔方程是统计诠释的，算力不足才导致只能描述概率的说法已经被实验否定了，格里菲斯的书里有写。另外我觉得所谓结果不确定但方程是确定的这种说法属实诡辩
普里戈金的从存在到演化里很详细地写了他的理论，包括对物理规律时间反演不变性的质疑，推荐有物理基础的人去看看，比起艺术作品，真正的科学迸发出的想象力才是最震撼的
不过视频里的各种讨论最晚也才到上个世纪七八十年代（就是普里戈金），我不信世界上最牛逼的一群人在这五十年里毫无作为，希望毕导科普一下[呲牙]
最后，科学研究需要的“常识”其实只有一条，那就是因果关系，一切的量子场论理论都是从这里出发的～",30,14
1196,669801019,1625990257,4887299756,538906223,托尔斯金,他们难道是四维生物？能感知过去未来。却无法改变结果。[doge],0,0
5789,669801019,1601469996,3546257613,16020724,Mr__BlueSky,"人究竟有没有自由意志，这确实是值得研究的问题，但我还是选择马克思主义的唯物主义。
即：物质决定意识，但意识对物质具有能动作用。[OK]",0,0
4191,669801019,1601534480,3548990216,13053272,筱与蝴蝶,我去！最后一节的bgm是空洞骑士的bgm？,0,0
3742,669801019,1601568816,3551250396,49657561,直布罗坨坨洋芋,普奇神父表示这熵增熵减，不过是他的替身能力的一部分展现而已[doge],0,0
2030,669801019,1603769447,3642820808,361543727,夕泖,"这个世界存在真随机吗
真随机，怎么想都有点违背物理规律
可是我不想承认我们生活在一个严格依照物理规律进行变化的“演示”型世界。",1,0
5271,669801019,1601476593,3546710903,3438186,账号已注销,薛定谔的硬币，因为我以前都有给，所以现在没有硬币了，那我白嫖是不是就可以光明正大了？？那。下次吧，下次也不一定[doge][doge],0,0
