,oid,timestamp,rpid,uid,uname,content,likes,replies
193,1353109732,1713026247,216759136336,13849746,豌豆的灾厄魔盒,"那个时候都是同志，志同道合，意气风发。
现在都是同学，同一所学校，差1分，干掉千人。",3,1
709,1353109732,1712980102,216646151168,280463290,Le01xB,和我爸一样（指身材,1,1
497,1353109732,1712989124,216667956032,689686379,小诩---,“好想回到那个年代”。。。没法评价,0,0
270,1353109732,1713011704,216720413200,482253683,林林的树,昨夜派对的歌都无敌了,0,0
678,1353109732,1712980547,216647173392,19497576,宅窝兔,岁月是把杀猫刀[脱单doge],0,0
1193,1353109732,1712977335,216640192448,357452415,--十--一--,热乎的,0,0
864,1353109732,1712978132,216642010096,49752554,李医生啊,一代人打了三代人的仗，吃了三代人的苦,0,0
1238,1353109732,1712977314,216640129984,1444857648,余晖烁烁tjh,一分钟[呲牙][呲牙][呲牙],1,0
681,1353109732,1712980506,216647073488,31023913,僵尸肖恩的奇妙冒险,我还以为会有转折,0,0
547,1353109732,1712984706,216657950256,23411636,可樂果Jeamoeng,[林俊杰_狂喜]谨防中年走钟,0,0
1285,1353109732,1712977296,216640164192,3494359439772057,红色杀,早,0,0
1273,1353109732,1712977301,216640048864,361148755,_风格即人品,6,0,0
997,1353109732,1712977537,216640611056,404475697,朝暮________,怪不得猫爸抬头纹都出来了,1,0
1166,1353109732,1712977356,216640206768,1292856090,高庄彭于晏,第一好吧,0,0
74,1353109732,1713095881,216878338656,350706229,吾乃大庆法王,我爸年轻的时候也很帅 [吃瓜],0,0
1371,1353109732,1712977245,216639915888,3546388275136689,勤劳的BA搬运工,热乎的,0,0
1409,1353109732,1712977226,216639900576,672354019,一个月路人,哦，哇草,0,0
367,1353109732,1713001441,216694187872,1839478561,她的嘴很甜,不用羡慕，敢问谁父母年轻的时候不是这样[打call],1,0
243,1353109732,1713016483,216733438352,2527276,宇文友炎,遇到一个人，不知道怎么称呼，那就叫同志吧,1,0
539,1353109732,1712985054,216658886576,273358164,叶满天涯,同志，下午好[水稻],1,0
1215,1353109732,1712977324,216640067952,174542553,北方不方_,好帅的猫爸好美的猫妈呜呜,4,0
223,1353109732,1713019515,216742123632,57452707,Yoo_n,所以大家都要好好关心慢慢老去的爸妈呀,0,0
164,1353109732,1713059466,216791377408,28192408,听雨喵轩,[思考]锄地方向？,0,0
626,1353109732,1712981843,216650534448,88443205,我是叁零他是伍零,我年轻的时候想一天能有一百块钱就无敌了，现在果然月薪3k[大哭][大哭][大哭],407,14
1099,1353109732,1712977402,216640288064,1532261207,甜到可怕的苦瓜,父辈的劳累谷，我们的温柔乡,1,0
1011,1353109732,1712977511,216640471168,12210684,报告颜色专用狙击手,"诶！☝️🤓星有野我给你拿两个糖吃！
。
。
。
。
。
。
。
💣💣",3770,46
56,1353109732,1713106054,216904506432,330316245,奶昔她爹,凉风是你吗。。。,0,0
1026,1353109732,1712977475,216640564352,248910138,不想说话的Eivens,猫妈?年轻时真好看[脸红],1,0
391,1353109732,1712999893,216690552336,1904710115,就这样生活下去吧,"今天4月13日，离全国劳动节还有17天
在这里，提前祝全国所有劳动人民劳动节快乐
您，辛苦了[支持]",4,0
377,1353109732,1713000957,216693125296,625163383,窅空,我下意识摸口袋找烟……,0,0
767,1353109732,1712979036,216643820608,646957635,希伯莉亚-航,哇哇哇,0,0
544,1353109732,1712984804,216658271664,161006006,梦芸如今,下意识看了眼日历，以为今天是父亲节。,4,0
1095,1353109732,1712977404,216640354528,1602860,深海摸鱼qwe,我年轻时喊不了的累，现在你可以喊了。,0,0
1208,1353109732,1712977328,216640071024,32978978,努力的小博士,放以前是光荣的，现在嘛[doge],1,0
224,1353109732,1713019390,216741844128,40673396,流浪的咕噜猫先生,18岁的时候，我一个人能在半小时内把400多斤白菜扛到5楼都不带大喘气的，18年后，我能呼哧带喘的把我自己带到5楼，哈哈哈哈哈，在长辈眼里可能真就是幸福的烦恼吧。[笑哭],0,0
1053,1353109732,1712977442,216640425520,128794924,Carefree-day,[幸运花花_吃瓜],0,0
327,1353109732,1713005122,216703507904,12028425,长的跟个奇葩似的,我想投币来着，但是我妹有币了。,0,0
300,1353109732,1713008302,216711651776,1316918489,幻羊吟,[初音未来_大笑],0,0
1082,1353109732,1712977413,216640405776,588745381,大圣奥丁,是啊，有老一辈的打拼才有我们现在的生活，虽然现在一个比一个卷[笑哭],0,0
1017,1353109732,1712977494,216640460464,511590446,楮清沙,我擦，那么早的？？,0,0
1210,1353109732,1712977326,216640186672,107927944,醉酒忆清歌,来了来了,0,0
366,1353109732,1713001456,216694143072,15758122,N1NEAS,正在听昨夜派对的歌单[笑哭]还以为自动切歌了,0,0
742,1353109732,1712979415,216644720144,22905633,野生的尧,俺老爸以前也特别有劲，前年我脚踝受伤了走不了路，我爸说背我，结果根本背不起来（当时我应该95kg），把我放下来说年轻的时候我这个体重随便扛起来，我爸年轻时是练体育的，还参加过全国农民运动会，铅球项目拿过奖牌，说自己18岁卧推就能推130kg做组 深蹲230kg做组，现在却扛不起来95kg。我看着老爸，也是感觉到时光荏苒，小时候看老爸一个人就能把电视机抱起来的那种震撼，到现在身患糖尿病有些佝偻的中年人，再看看自己除了出去工作就喜欢宅在家里，脚踝也是因为长期不运动突然去打一次球就受伤的脆弱，圆圆的肚子... 现在就有一个目标，想在30岁之前尝试达到一次我爸年轻时的巅峰，在将来我有小孩以后，也有一件事可以跟他们讲故事[奋斗],1711,19
1375,1353109732,1712977241,216639961312,611077500,片翼的pixy,第二,0,0
658,1353109732,1712981003,216648358000,262332985,禾傲浩,求BGM[脸红],0,0
872,1353109732,1712978032,216641704560,527393664,始于情而终于情,大家早上好！(^0^)/,0,0
286,1353109732,1713009862,216715678352,1926467270,雨林-墨风,以前那个年代劳动是最光荣的，可现在……,1,2
343,1353109732,1713003323,216698789872,435445795,熊ov,这这不对吧[热词系列_啊?],1,0
1148,1353109732,1712977368,216640329264,15623525,阿杰qir,啊～[脱单doge],0,0
674,1353109732,1712980671,216647352368,27179497,lazyforest,上辈人运动多，身体强健，只是说医药条件不好，吃的不行,0,0
1415,1353109732,1712977223,216639898832,392657421,凪尘翎,好快,0,0
1209,1353109732,1712977327,216640070352,264349538,玩个蛇皮皮皮虾,来了,0,0
150,1353109732,1713067134,216808791792,353591688,磨可可的人,同志！,0,0
578,1353109732,1712983417,216654662624,581824163,清血龙烛,"“妹子？”
“同志！”",1,0
666,1353109732,1712980848,216647894656,30279237,奈文摩尔DL,我以为……！,0,0
664,1353109732,1712980882,216647992352,700911628,PTC-妥子,一个木函是个好东西[脱单doge],0,0
91,1353109732,1713088990,216860932672,46362,万能君,看了评论区那么多照片，也看过我父母的，无一例外，他们眼神里有光,0,0
856,1353109732,1712978216,216641988528,241341470,君守望卿,“儿孙自有儿孙福”,0,0
144,1353109732,1713068885,216813771584,476340144,断章quyi,@小小小小草莓儿,0,1
724,1353109732,1712979813,216645484000,434868095,gylia,"开头的bgm：xd xd 我要迪士尼
没人听到吗[妙啊]",3,0
1352,1353109732,1712977257,216640085984,121925625,雨似海沫,我现在！就要看到狮哥跟狮姐在一起！！！[打call][打call][打call],70,3
1417,1353109732,1712977223,216639898592,181426186,山川皆无忧,第二,0,0
734,1353109732,1712979626,216645149296,202586166,数据的尽头,会画你就多画点,0,0
831,1353109732,1712978438,216642569552,12595178,咖啡味彩虹糖,所以猫妈呢，没怎么见过这个人物呀,17,14
84,1353109732,1713091564,216867256592,629606455,Sakura蓝色多瑙河,？封面呢？,0,0
424,1353109732,1712997049,216684299280,7657304,随心所欲的鼠鼠鸭,@AI识片酱,0,0
378,1353109732,1713000897,216692872592,693671602,萧洛很无奈,老一辈人感觉都挺有劲的，别管看起来瘦，肌肉块子真硬实,3,0
1383,1353109732,1712977236,216639957104,1247147086,溪换膏潮,来了哦,0,0
1275,1353109732,1712977301,216640048560,7811923,鹤栗huin,我超，同志！,0,0
500,1353109732,1712988927,216667507104,574174181,啊噗噜㭛,弹幕里面一直说是帕鲁的我真服气[辣眼睛],0,0
613,1353109732,1712982164,216651277040,436975592,白药owo,这比一本正经的宣传劳动最光荣的横幅有力多了,0,0
599,1353109732,1712982572,216652424816,917769,茄子西瓜,我爸也跟我说他们读书的时候放学就要去河里面担沙子,1,0
655,1353109732,1712981037,216648388576,7137655,陳sir吔,人民万岁！,0,0
474,1353109732,1712991936,216673658000,402868981,哞啊咩啊,[脱单doge],1,0
95,1353109732,1713086750,216855464416,438369237,正经人张某昂,在煤矿挖煤的第三天，锄头都轮了火星子冒了，特么的。,3,0
