,oid,timestamp,rpid,uid,uname,content,likes,replies
253,1400140322,1706701583,205739305120,8000381,老呆老呆了,首先㊗️up恭喜发财💰,90,2
179,1400140322,1706772164,205859813648,3493114186566519,GF-12,《恭喜发癫》,1,0
152,1400140322,1706789754,205903265216,417030678,是王富贵呢,这个梗过年才有的是吗[doge],2,0
112,1400140322,1706885461,206094162752,647284423,流浪者与其影子,文艺复兴[打call][打call][打call],0,0
33,1400140322,1708479423,209100424096,672923911,小凡不可爱,看的我七上八下的,0,0
76,1400140322,1707050070,206403245088,3546588064516467,Hadi迟,哈哈哈,0,0
8,1400140322,1712896070,216499426144,3546604262918914,月光幽影ha,[胜利],0,0
113,1400140322,1706884497,206091367344,3461569795065947,陆生的邱刀鱼,觉得会火[初音未来_大笑][初音未来_大笑],0,0
132,1400140322,1706835389,205970521472,256648795,你迟早是公务员-,潮汕那男的，据不完全统计，您已经改了不下四次标题了[doge]BV1YU421Z7W4,2,0
239,1400140322,1706702718,205742223856,110371677,天气温云,数字生命[脱单doge],131,3
285,1400140322,1706701077,205737823104,106628608,阳光彩虹刀客塔,怎么早,0,0
36,1400140322,1708415076,208982278480,3493291402201842,简丶繁天,114514,1,0
86,1400140322,1706961486,206230147424,11221461,新月之幻,@偶内的手手 新的一年开开心心 顺顺利利[OK],0,0
87,1400140322,1706961042,206228936512,177319213,起舞弄青云,耶咦耶咦耶咦耶啊哦,0,0
248,1400140322,1706701815,205739908560,26423169,骆驼箱子,《恭喜发财 bilibili特供版》[doge],12,0
306,1400140322,1706701020,205737772416,524563689,不过是鱼翅,第三[doge],0,0
130,1400140322,1706839740,205978363728,1105772775,hjfyxje,感觉要火，差个水果刀,2,0
167,1400140322,1706779355,205876078976,93885483,SaberwithGun,恭喜发财,0,0
111,1400140322,1706886451,206096972912,3546570188393375,Jpfyoc,好活当赏[热词系列_三连],0,0
289,1400140322,1706701047,205737951408,827845,村上真都十年老粉,太快了我[脱单doge],0,0
260,1400140322,1706701348,205738697216,109327626,Bili_109327626,"华仔又要占领超市了
大妈又要占领村口了
今年的你
又该如何应对呢[doge]",653,7
281,1400140322,1706701090,205737833760,367223751,菜所以摆烂,一播放133赞[doge],1,0
68,1400140322,1707096050,206472084608,1306927814,很菜很菜的dong_ren君,图恒宇，______！[doge],0,0
144,1400140322,1706799018,205928415888,3546393501239599,美嶼玲香,最喜庆的一集,0,0
192,1400140322,1706762980,205839538176,23916192,Vv绫瑠vivi,你这恭喜的什么发财[思考],0,0
37,1400140322,1708402437,208950943552,5586540,御坂坂10086,潮汕那男的[脱单doge],0,0
5,1400140322,1712923418,216558789280,478367151,青铜之王者,[海虎表情包_毛虫],1,0
104,1400140322,1706914452,206129964672,3493103807761189,智力9的灰烬,@道喜子,0,0
191,1400140322,1706763426,205840667504,286732127,喬碧蘿喬斯達,好！,1,0
59,1400140322,1707275809,206837679824,3494365322283183,浅浅路过ing,@我就要叫せんせい啊啊,0,0
249,1400140322,1706701811,205739825200,1248722481,我是腹黑小胖,感觉会火，我占个位置先[吃瓜],0,0
222,1400140322,1706706170,205751400352,28798589,亦是蹉跎丶,哈哈哈哈哈哈,1,0
283,1400140322,1706701086,205737904144,421791539,阳光下的憨批,[脱单doge][脱单doge],0,0
272,1400140322,1706701137,205738036224,36614295,老虎大妈,1分钟前[doge]，我来的还不算晚,0,0
78,1400140322,1707023728,206336896176,2142055323,智力聰聰,下次不一定，所以这次一定[热词系列_三连],0,0
225,1400140322,1706705226,205748861696,627790750,優しい折木ほうたろう,刘德华要解冻了，那么请问，你在新的一年里解开心结了吗？[给心心],1,0
79,1400140322,1707019753,206326287824,67458592,秘制黑玛瑙,《 华   语 》,0,0
250,1400140322,1706701785,205739880992,82840509,寒冕浮生,喜气洋洋，三连三连,0,0
3,1400140322,1713055642,216784539840,1681439,池鱼水中游,烂！[doge],0,0
213,1400140322,1706716943,205780330160,276970091,い粉笺难赋,漫长的1分47秒,2,0
27,1400140322,1708838875,209804646288,3546586068027991,0圭零0,老乡白嫖一下应该行吧,0,0
173,1400140322,1706774963,205865944736,525940570,鲁迪生与猹,实在太美,1,0
51,1400140322,1707487482,207287057104,1082413332,-Guiyn-,"今年，114514年，祝你……
鬼       畜       快      乐        ！！！！",1,0
44,1400140322,1707580413,207467300176,1877004657,暴躁市民小兰,@祈愿日落和云,0,0
39,1400140322,1708250543,208673640288,1270015817,精神病_病儿,行，一键三连满意了吧？,0,0
252,1400140322,1706701602,205739321792,1851725678,玄极先生,没有什么可说的，提前祝大家新年快乐，万事顺利[doge],0,0
70,1400140322,1707076587,206457956768,270430812,快乐的人类,@丶小七七丶 @WaiYO @熊猫宰 [微笑][微笑],0,0
34,1400140322,1708477537,209097177264,3537117288336226,裘莉棠d,[胜利],0,0
85,1400140322,1706964945,206239368480,3493131374823808,老鼠曜吃药,恭喜老登发财,0,0
212,1400140322,1706717649,205781932576,34213397,_御坂啊御坂_,解冻了家人们[星星眼],1,0
196,1400140322,1706758356,205828027024,2067729231,一只备考的团子,质量不错，三连奉上,1,0
294,1400140322,1706701036,205737941408,26021913,Ar2ail,@肆月不一样,0,0
308,1400140322,1706701011,205737678464,403919883,super大牙,早,0,0
168,1400140322,1706779204,205875929136,1400549081,1145141919--bili,UP估计是被限流了。虽然是自制，但是只能投币。三连就显示系统错误[doge][doge],2,0
64,1400140322,1707179219,206640084192,3546562827389809,绵绵丨华仔最好,哈哈哈哈 一大早看的笑醒了,0,0
83,1400140322,1706968620,206249405696,402940126,卖河蟹的小女孩,@不想取新名字,1,0
177,1400140322,1706772634,205860784032,20119788,我真的没有大电了丶,想要个电子签名,0,0
174,1400140322,1706774635,205865222096,4142428,丨小麽,我恭喜你发财。,0,0
207,1400140322,1706743484,205804005920,1270123424,過辶,@潮汕好男人 怎么限流了,2,0
124,1400140322,1706853099,206011420064,209433773,Ardent丶Priest,[藏狐]广东人表示一到新年，耳朵就被这首歌墙剑,5,0
292,1400140322,1706701038,205737789472,1261271103,976481537,完全胜利！,0,0
6,1400140322,1712917399,216543441248,578500922,南寻lz,@北觅lzy,1,0
263,1400140322,1706701230,205738354816,481576612,悲伤的小蘇,哈哈哈[doge],0,0
236,1400140322,1706702771,205742357632,393512798,叉烧今天咬人了吗,有🍉！,0,0
