,oid,timestamp,rpid,uid,uname,content,likes,replies
465,1503009747,1713071246,216819955696,585123809,太过分吃饭123,真是6666,0,0
61,1503009747,1713180983,217020510848,19103912,爱跑步,好的是真的 不好的也是真的,0,0
553,1503009747,1713060372,216793293680,40531802,望山人,这么敢拍,0,0
323,1503009747,1713094722,216875403872,95738649,大民小人,为了孩子,0,0
162,1503009747,1713143662,216946337968,149938,名字特别酷,up是我们重庆的吗 看这么多次才知道,0,0
620,1503009747,1713035270,216771320560,21954281,喵喵和小不点,台湾拍大陆肯定敢拍嘛~编剧沙叶新老师是大陆人，我很喜欢，我们学校编剧专业毕业的研究生，算是老前辈啦（虽然不是一个专业），前几年去世的时候朋友圈都是纪念他的文章。,7,0
1160,1503009747,1712967049,216622303888,39404747,皮皮大王健康成长,怎么有一种港台腔。发国,2,0
1064,1503009747,1712988083,216665844672,383244093,唯无常不变,"孙子：我以后能当将军吗？
爷爷：当然可以了，像我一样！
孙子：那我能当元帅吗？
爷爷：不能！元帅也有孙子……",3,0
1024,1503009747,1712992511,216674891152,3494357061601519,打的好111,现在不能拍了只能来来回回玩以前的几个电影[喜极而泣],10,3
551,1503009747,1713060817,216794177728,3546590037936297,飞鸿踏雪呢,真实,2,0
836,1503009747,1713010353,216716910208,37595251,两无成QAQ,拍的挺好的,0,0
612,1503009747,1713046057,216776302864,3546554384255510,秦小天1999,还有这么牛逼的电影啊,0,0
711,1503009747,1713022943,216751401648,456716368,狂洒,被扭曲的扭曲回来就刺痛了人心。,0,0
514,1503009747,1713065943,216805832832,687640974,无敌丶大彩,美国人好惨，日本人可恨，欧洲人虚伪。,1,0
329,1503009747,1713093852,216873227760,13861443,青瓜sama,国内最幸福的单位是yancao、没有之一。但你猜啥人能进这个局？我也好想是gaogan的儿子啊[大哭][大哭][大哭][大哭],1,0
586,1503009747,1713054233,216782604896,16172227,梦玖岁月,"最最讽刺的是：这个剧镜头里只有城市下放的青年，没有农村本来的青年，事实上他们才是大多数人，他们也想和下放子弟站在同一起跑线上。
突然想起进击的巨人，原来在人们心里呀，真的有那一层一层的高墙。",408,13
1135,1503009747,1712972975,216631418560,2888614,supercoco88,真人真事,13,0
452,1503009747,1713073020,216824541152,388585369,万能的B站网友,很多东西不会因为你揭露出来而改变，顾好自己，很多东西不是我们普通人能讨论的,0,0
568,1503009747,1713057770,216788185392,3461570371783119,bili_80866567918,怪不得男主看着面熟,0,0
1039,1503009747,1712990883,216671613760,59424216,Troup_,所以我做错了什么😐,0,0
326,1503009747,1713094242,216874198768,10361924,Chang张狗胜,继承银行当然是朴素的愿望啦,3,0
908,1503009747,1713003986,216700548624,8064906,ずんだもんちゃん,🐘啊，𬣳🐘啊,1,0
460,1503009747,1713072300,216822763520,81449528,江总总,我们名族比较儒雅，不像美国一直在对外打仗掠夺资源，给本国人福利，强盗行为[脱单doge],0,1
896,1503009747,1713005169,216703712864,387855292,-不要让我起昵称-,是谭咏麟吗？,0,1
910,1503009747,1713003352,216698848304,482239850,谎言的蜜糖真相的快刀,正常正常正常啦，稀松平常的事说出来干嘛,188,12
95,1503009747,1713168941,216993739712,177631820,欣旺-震旦天朝,https://b23.tv/xHhHq1P,0,0
