,oid,timestamp,rpid,uid,uname,content,likes,replies
3386,1553140411,1713011888,216720878032,27702157,爱睡觉的西子,好牛[大哭][大哭][大哭],0,0
823,1553140411,1713108590,216911462640,356527730,狗勾懵懵叫,太牛了！,1,0
2100,1553140411,1713061565,216795678400,165364240,Z南国,所以哥哥是宴臣，车祸后双胞胎弟弟代替宴臣接手集团，所以弟弟叫什么[大哭][大哭][大哭]，弟弟叫什么呀,10,1
1269,1553140411,1713090193,216863831200,1688923450,邦邦心,神级创作啊这是，太牛了,5,0
4735,1553140411,1712974101,216633596304,357784388,君欢南,正片终于上了[打call],0,0
69,1553140411,1713194557,217054929680,38886265,过期学姐呢,好家伙，这个和《天若有情》连起来看，哥哥弟弟感情线全有了，所以这两个视频真的不能合在一起拍个剧或者电影吗？[大哭],20,5
3502,1553140411,1713009928,216715829072,33559678,一对儿猫猫饼,原来我反反复复爱上太太的剪辑！厉害！,0,0
3359,1553140411,1713012393,216722212480,26067627,wh0y0u,精彩,1,0
153,1553140411,1713190234,217043230272,278344429,越思梓,仙品啊！两位演员微表情情绪渲染剧情歌词衔接丝滑到让刘亦菲和魏大勋亲自上阵来演这个剧本都未必能超过这条视频的程度,20,3
2711,1553140411,1713026408,216759354864,804525,弧酱ww,神级剪辑离不开优秀的演技和牛逼的up,17,0
746,1553140411,1713111695,216919063136,78534702,wwtwwtwwtwwt,谢谢up剪出这么好的二创让我看的痛哭流涕,16,0
3066,1553140411,1713017766,216737099968,360476125,正版弥枢,妈呀呜呜呜呜呜呜,2,0
246,1553140411,1713183791,217027251296,678275115,sunny6_6,还有，弟弟出车祸之后好像伤到手了，是不是也当不了医生了[大哭][大哭][大哭][热词系列_我哭了],3,2
1607,1553140411,1713075862,216831331120,11115722,南凛凛凛凛,"up主没有放在视频里的最后一段歌词：

当天边那颗星出现
你可知我又开始想念
有多少爱恋
今生无处安放
冥冥中什么已改变
月光如春风拂面

无处安放的爱意，如潮水般的思念，可是冥冥中有些事注定已经变了。无论是哥哥还是弟弟，都已经消失，宛若一弯明月，月光洒在身上，好似春风般和煦温暖，因为哥哥和弟弟，都是很好的人啊。",22,0
2454,1553140411,1713032038,216768132912,351670608,拿一片山茶花,太惨了[大哭]真的不能让这俩合作一部现偶吗！！刘亦菲破碎感也真的绝了。太好哭了，哥哥走了，弟弟也消失了，女主却是弟弟存于世上唯一的证明但她却没办法说出口[大哭][大哭],18,0
201,1553140411,1713188015,217037554960,4852521,放弃治疗等于不想活,插个眼，希望也有出品人来看看太太的作品！然后像古曲一样拍成剧！,10,3
3746,1553140411,1713004754,216702655104,1329238905,炸-炸爆米花,之前那个up主剪的刘亦菲的拉郎“古相思曲”就很好看被拍成了电视剧，你这个也是啊，也希望拍一下,8,0
672,1553140411,1713115456,216925758704,10761104,Radiodudu,"看之前：至于这么夸张么
看之后：哭死并已四刷",45,0
2793,1553140411,1713024126,216754343648,10047123,口口口小蕊,魏大勋你能不能去拍个现偶造福一下观众，求求了[大哭][大哭][大哭],31,0
4376,1553140411,1712992449,216674750544,1295903288,国坤集团财务部,大勋演的真不错[支持],4,0
3693,1553140411,1713006135,216706329232,83452623,海底下的船,太神了！,1,0
1211,1553140411,1713092469,216869547120,390541763,核桃仁是个宝,"这首《少女的祈祷》完美适配我看完这个视频的感觉：
祈求天地放过一双恋人
怕发生的永远别发生
从来未顺利遇上好景降临
如何能重拾信心
祈求天父做十分钟好人
赐我他的吻，如怜悯罪人",11,0
3577,1553140411,1713008471,216712077680,16301454,hsttt,up主真的绝了看完一遍绝对会二刷的视频，魏大勋的演技完全被低估啊,12,0
3466,1553140411,1713010531,216717453632,396006939,亲爱的_安_,我的妈呀鸡皮疙瘩起来了,1,0
3645,1553140411,1713007138,216708718272,12823565,团子青不是清,二刷哭得像个坏掉的水龙头[保卫萝卜_哭哭],24,1
4569,1553140411,1712983622,216655159328,504646454,山静云吐,啊啊啊啊,0,0
3973,1553140411,1712999677,216690207328,418805343,瑜瑜爱吃柚子吖,[大哭][大哭][大哭]看到时长的时候我震惊，而且还剪得这么好，魏大勋的演技真可以分得出来是不同的角色,12,0
1854,1553140411,1713069047,216814240880,7170320,枉长汀,好久没刷到爆肝的视频了 终于又可以打出那句“太太你的肝还好吗[脱单doge]”,17,0
1522,1553140411,1713079379,216839012256,555953596,快乐的吴克,二刷虐出新高度，女主在醉酒之后才敢哭着说“我真的舍不得你啊”我的眼泪一下就喷射出来[大哭][大哭][大哭],20,0
786,1553140411,1713110220,216915643696,130133605,屿偞cc,不要理挑事的，菲迷很多只是无意中刷到这个视频的，不会挑事。看主页就明白不是女主粉,52,4
1150,1553140411,1713095684,216877848960,182694046,Tintingblue,我理解是这样：女主和弟弟是多年的校园恋人，弟弟在哥哥宴臣的庇护下可以“叛逆”选择自己喜欢的职业，想结婚虽然前期父母反对但是在自己的坚持和哥哥的帮助下还是获得了允许，结果因为哥哥丧命在自己驾驶的车辆上，外加哥哥多年的付出，父母的埋怨和家族的压力下让他抑郁了，所以他选择跟女主分手，中间又因情绪崩溃跳楼自残丧失了记忆，父母和他自己潜意识就决定泯灭“弟弟”，让“弟弟”代替“哥哥”死去，而“哥哥”活了下来，跟女主再相遇的时候，他已经完全相信了自己是“哥哥”，但是还是不由自主被女主吸引，女主怕跟他相认会刺激到他回想起一切，回到情绪崩溃自残自杀的状态，因为太爱他所以选择隐瞒和远离，男主疑惑心动但又碍于自己是家族继承人“哥哥”，对方是“弟弟的女友”选择了止步，保持距离，注定是个死局。,34,1
