,oid,timestamp,rpid,uid,uname,content,likes,replies
621,6731067,1665295915,133013817968,293592569,桃李言,"但是你,我的朋友,是真正的英雄",1,0
2253,6731067,1540159468,1141214390,1934596,Lee77Van,看完觉得这个视频本身也只有第十节对考研党有帮助，但是要看懂第十节123456节就得看完。第十节我感觉帮助很大。,1,1
2880,6731067,1477049470,155249727,2358771,RinHuA,嗨呀好有用啊,0,0
1834,6731067,1582786930,2435172465,12278259,亿杯无糖抹茶拿铁,我好了！我又可以了！,0,0
603,6731067,1666246592,134286714112,278024328,HarleTrial,当学的足够多足够深了之后，会有我以前也会说出这样的话的感概啊,0,0
2064,6731067,1561541176,1714624818,205180712,400米耐力跑,看不懂呀[doge],0,0
224,6731067,1694686404,185893819424,425401690,令羽小姐姐,爱来自武汉[给心心],0,0
480,6731067,1675215660,150166028368,481437452,Mercurin,良好的解释和象征性证明,0,0
1889,6731067,1578921591,2256989077,20731449,观察猪猪网,血书求概率论,0,0
87,6731067,1703569777,200302534160,481624788,ssm111234,感触最大的一句话：如果所有向量都给张成的空间添加了新的维度，他们就被被称为线性无关的。,3,0
2715,6731067,1486189113,196945174,2981663,tonyczh,国内主要是以代数的观点来讲线代，而这个视频主要是以几何观点来讲。我们数学老师（范后宏老师，有p大同学路过的话强烈推荐他的线代）常说，从某一种方式看觉得难以理解的问题可能换一种方式就是变得很直观。顺便推荐一本教材，linear algebra done right，有中译版，想要深入的同学可以看看。,6,2
1903,6731067,1577843007,2222334709,38541156,抵达冰结界的晴岚kjknju,我是我们学校数学系大一的，我们学校课程安排是没上过高代就直接学解几，前面二次曲面还能懂，到了后面坐标变换完全是一头雾水，看了这个视频好多了,1,0
2842,6731067,1477178022,155863550,7800,someone,太棒了,0,0
897,6731067,1649323250,108342771968,13150274,MeyoLY,学会了，请问三行四列行列式怎么算。,0,0
2420,6731067,1516110654,586629939,24001031,perpe,"坏啦？
无法连接服务器",0,0
438,6731067,1678778360,156218024816,638742886,飔y,这个变换解释的好，本质上旋转的就是基元。,0,0
449,6731067,1677917839,154809651152,7858864,珮波街肥皂公司员工,对线性相关的理解，即向量没有扩展其他向量的张成空间，而是落在了这个空间平面上。疑问是这个例子是三维的角度，如果是更多的向量组和应该如何理解这个问题呢？,0,0
352,6731067,1684900999,166696382976,339933956,Doctor_Liu_dlh,有没有大神知道这位老师是用什么软件演示这些动态变化的？,1,2
1700,6731067,1590327904,2943211423,20746465,Robust_com,我为什么感觉并没有说清楚点积的几何意义和线性变换的联系？,0,0
2011,6731067,1567428377,1931243315,22532822,bili_22532822,请问有人知道开头和结尾的钢琴曲叫什么名吗」,0,0
2708,6731067,1486999838,203326466,13160215,轻风闻雨,"建议将以下词汇屏蔽：

三体
二向箔
二相箔
降维",7,10
2896,6731067,1477042945,155208762,5742048,chika-takami,眼看就要高考了，谁来教我高中的数学呀…只要教会我方程组和函数就行,0,5
