,oid,timestamp,rpid,uid,uname,content,likes,replies
4079,1953070385,1713021492,216747557392,65320514,晚秋木槿,这么早,0,0
402,1953070385,1713125668,216933628352,418388601,三月只会甩狙,项真爽[脱单doge],0,0
370,1953070385,1713139362,216940803552,17513,圣大教主茶茶叶,[呲牙]我到现在还记得那些全网洗稿的“人家是设计师高定圈不差你这点流量”哈哈哈哈哈笑死真讽刺,0,0
3615,1953070385,1713025466,216757520560,3546569892694705,杨木易219,写作文又有墨了,0,0
3676,1953070385,1713024550,216755327152,397942659,努力的啊铭,之前全网热点事件吗？她道歉了我才知道有这回事，我老网虫了[笑哭],2,1
2729,1953070385,1713054368,216782825536,178799623,哀木涕哦哦哦哦,流量让世界、让人扭曲,0,0
2387,1953070385,1713058897,216790192608,474909965,轻烟掠影,她的视频明显就是看个乐子，错就错在涉及到具体的人和事的事情的时候不够谨慎,4,0
2474,1953070385,1713057504,216787704864,38679302,黑猫爱吃雪糕,最痛的就是我在blbl看到了唱的特别假的唱见本来想进去评论说两句，发现大家都在夸姐姐好棒。一我怕被骂，二我不太想当那个扫兴的人。所以就只能默默的退出来点我不喜欢然后继续看别的了[思考],0,2
1573,1953070385,1713069808,216816169344,5995676,Ausola,从来没关注过她 内容和妆造都很夸张,0,0
1027,1953070385,1713082998,216846990768,2140367767,___Myth___,豁然开朗,0,0
1212,1953070385,1713077318,216834578448,69905510,漫龙-,猫一杯，我看是两女一杯,0,0
1816,1953070385,1713066823,216808108944,187548947,Red_Alchemist,仅仅从创意的角度来看何同学还是有点东西的,0,0
3696,1953070385,1713024306,216754818496,495373439,水王ing,最支持国家队的一集[脱单doge],0,0
363,1953070385,1713139972,216941474224,486851381,芙兰阿杰,"冲这标题就点了[鲸鱼娘梦游仙境_火柴挥舞]

哪有小尾巴",0,0
3773,1953070385,1713023456,216752801680,95287558,佳友小鱼,以意外播流量不一定是短视频。B站盖里老哥也是这种制造生活意外获得流量的，看多了总感觉是假的。直播平台也有，童锦程小小小酷哥等等也是。当然，很多粉丝喜欢看剧本，认可他人在这方面的需求。,0,0
1966,1953070385,1713065208,216804190304,12526296,clykc,第一天我刷到这个视频就有猫腻了[妙啊]果然真出事了而且他的风格看多几次他的视频感觉有些东西很刻意,0,0
3464,1953070385,1713028063,216762547584,14903986,小鼹鼠三毛蛋的故事,她道歉我才知道她是谁 看了看之前的视频 好做作…,0,0
3430,1953070385,1713028801,216763772768,730388,赤坂亭真是太好吃啦,支持tom老师[doge][脱单doge][脱单doge],0,0
1552,1953070385,1713069995,216816723648,263868280,旅程D翔,"前几天看到nga cosplay区，有人发帖鉴定那些发自拍帖子的真假。下面一堆人喷他，说假的又怎样，你还能现实约到？真假有什么差别?被骗到的都是蠢，发私信的都是没脑子的。
真想让他们看看这个视频。",1,0
2645,1953070385,1713055337,216784073808,38996392,新德里的锅巴,还是为了更多钱[辣眼睛]，这就是源头,0,0
2640,1953070385,1713055368,216784249056,438165051,天选之狼灭,你小子原来是个胶佬,0,0
4074,1953070385,1713021505,216747568176,43666322,MiuntiaeQ,这人谁啊，挡住我看后面的柜子了[傲娇],17,1
2272,1953070385,1713060216,216792899184,294079016,handsome_devil,我第一次看到我就怀疑过是摆拍视频！没想到过了几个月她竟然被实锤了[喜极而泣]，所以大家网上看视频别太相信！,0,0
2051,1953070385,1713064233,216801800464,313625993,z小咖喱黄不辣z,电子宠物，那不就是张天琪嘛[doge],0,0
1257,1953070385,1713076119,216832003968,480172172,以泪卸妆,推波助澜的媒体你不敢说，全怪短视频？,1,1
2965,1953070385,1713048678,216777465920,274945221,山谷髅人,那个团什么up，每次出去玩都能遇到感人的事，写一篇作文那个，我就怀疑是编的,2,0
3697,1953070385,1713024306,216754818224,23389100,Esphinse,生活的真相就是平淡甚至凄惨的呀，不管你多么不甘心，揭开幻想的背后就是一个傻愣愣的埋头做事的自己。,4,0
326,1953070385,1713145734,216949427200,44599821,草薙兔子,我是来学跳舞的[歪嘴],0,0
