Unnamed: 0,oid,timestamp,rpid,uid,uname,content,likes,replies,index_qingxu,index_manyi,bool_tiwen,bool_taolun,bool_wangeng
1710,1353035049,1713023038,216751640912,1851626808,林北偶啦,请带小姐姐回家[大哭]@共青团中央,0,0,1,3,1,1,1
1270,1353035049,1713061469,216795607168,95263014,BlueBrown31,英雄先辈,0,0,3,3,1,1,1
1192,1353035049,1713064837,216803247520,647285046,不要排位禁我蝶,伟大的女性,0,0,3,3,1,1,1
1541,1353035049,1713045537,216776176960,283681932,系统取的名,18岁，18岁，我参军到部队,0,0,3,3,1,1,1
1420,1353035049,1713054742,216783321632,3546556485602136,銀河英雄伝説,向民族英雄王维洁老奶奶致敬！,0,0,3,3,1,1,1
1789,1353035049,1713016536,216733509664,328216208,吾乃正义之神,今日的朝鲜所有领土，历史上都是我们中国的领土，绝不会将领土交给韩国！,1,0,3,3,1,1,1
223,1353035049,1713168374,216992709072,20998852,Dopamine7777777,右边我仿佛看到了阿斯塔特,0,0,2,2,1,2,1
539,1353035049,1713110124,216915264848,394784056,洛邑娇子,明明是向着冲锋受伤的士兵奔去……志愿军医护员的本能反应和英勇无畏的精神！[奋斗][奋斗][奋斗],0,0,3,3,1,1,1
1246,1353035049,1713062453,216797770080,1084301806,土匪老司机,为什么我们一定要给这类视频投币呢？因为投币，才能让这类视频让更多人看到，让更多青年人了解我们的历史，了解曾经的苦难，了解前辈们的伟大付出！,1,0,3,3,1,2,1
69,1353035049,1713188631,217039014128,25455008,leongump,请问最后一幕是什么电影里的镜头？,0,1,2,2,2,1,1
87,1353035049,1713186031,217032593648,1272631647,影子憔悴,好难受,0,0,1,1,2,1,1
1343,1353035049,1713058398,216789300816,182033124,布导第一天,真正的女性力量[奋斗][奋斗],0,0,3,3,1,1,1
631,1353035049,1713101091,216891244448,248321889,富里栩,三八妇女节 这几个神圣的字 居然当代有人觉得是一种侮辱,2,0,2,3,1,2,1
1136,1353035049,1713067203,216809091424,444923722,外行找热闹,敬礼！,0,0,3,3,1,1,1
982,1353035049,1713074612,216828500736,3461579146266626,淘淘1006,那时的他（她）们，青春无敌，风华正茂，还是毅然决然的奔赴前线，无畏生死，向最可爱的人致敬！,8,0,3,3,1,2,1
1466,1353035049,1713052438,216780569296,340126954,askjy,第九兵团大都是江浙人,0,0,2,2,1,2,1
305,1353035049,1713156064,216970004960,1240827410,忏悔boy,弥足珍贵,0,0,3,3,1,1,1
198,1353035049,1713171424,216998234016,388092788,暮云压成,先磕头为敬！,0,0,3,3,1,1,1
879,1353035049,1713082439,216845720896,609381311,bbjsa,[抱拳][抱拳][抱拳],0,0,3,3,1,1,1
1760,1353035049,1713019187,216741170160,474721641,你的影子cy,真正的巾帼英雄！致敬！,2,0,3,3,1,1,1
1575,1353035049,1713039026,216773619856,3493108712999657,Veeive1,人民英雄永垂不朽,0,0,3,3,1,1,1
721,1353035049,1713094572,216874984176,475464159,wxh8505,她（们）的义无反顾，让人敬佩。一个年轻美丽的18岁生命，倒在了刚刚诞生的新中国的立国之战当中，倒在了异国他乡，让人泪目。让我们记住她：江苏太仓新塘的“小百灵”：王维洁。,0,0,3,3,1,2,1
635,1353035049,1713100916,216890778960,2053432666,lehaoyong,"为了国家的存亡和民族的尊严,面对狗强盗的挑衅侵略,再弱小的人,也会义愤填膺热血沸腾的站出来保家卫国的  向那个伟大的时代致敬,向那些英雄们致敬,志愿军万岁",2,0,3,3,1,1,1
1322,1353035049,1713059641,216791580992,86226353,FoxHGH,致敬先烈,0,0,3,3,1,1,1
765,1353035049,1713091065,216866102896,45873453,垚生鑫,"艹，眼泪止不住[大哭]
跟抗美援朝的烈士们磕9个头[拥抱]",1,0,1,3,1,1,1
1210,1353035049,1713064312,216802026304,518557309,奶油小饼棉花糖,"[保佑]英雄！
那场战争实在是太苦了.........",0,0,1,3,1,2,1
