oid,timestamp,rpid,uid,uname,content,likes,replies,correlation_score
1351097913,1713349805,217297155376,41023166,冷酷的画家,去离子水淘宝能买到，好像两百多20升,0,0,0.44878598782701334
1351097913,1713016179,216732536464,516323505,蓦然默默然,总不能是双蒸水吧？,1,0,0.15968265160069406
1351097913,1712587550,216015850144,341994451,凯爸爸刷大,越纯的水，越容易脱水，笑死,1,0,0.502384079746281
1351097913,1712246809,215443578624,196367273,shabby的玩偶,为什么我在贩卖机里买的娃哈哈感觉巨难喝[捂脸][捂脸][捂脸]我同学喝了也这么说的[捂脸][捂脸][捂脸],0,0,0.43947995652990207
1351097913,1712201671,215336998736,2461631,温蒂-玛贝尔,机器应该是进口的吧？这么贵[吃瓜],0,0,0.32210345111583744
1351097913,1712000125,215021378912,53372059,焦糖玛奇朵fallen,还真是（）反正学长和老师教胶片冲洗配液的时候就是让我们直接买哇哈哈或者是景田（,0,0,0.4024293898227887
1351097913,1711798077,214663427536,3493083775764591,随便起的随便起的,据说屈臣氏蒸馏水纯度比哇哈哈更高，不过平时喝水很多人一般都喜欢买矿泉水。,0,0,0.6104439246594816
1351097913,1711526440,214211570720,487760909,此举去膂力,蒸馏水呢 制造困难产量少还是不好弄的,0,0,0.4142515252185194
1351097913,1711480789,214153422640,381817469,夏日苪叛逃,@想正经的Am,0,0,0.1837401625625704
1351097913,1711474491,214148688720,300246556,张铁直男,怡宝也可以,0,0,0.24857942868771335
1351097913,1711434916,214064100976,400797918,夏日潮来,@汪汪酱醋茶,0,1,0.2561557982862414
1351097913,1711357317,213940621104,102398620,露思谁守,我们这一块二,2,0,0.11436021044207742
1351097913,1711337429,213902258592,11676226,301舍长,两块一瓶？哪里的物价这么贵,1,0,0.2300749343437179
1351097913,1711305828,213872963536,327331934,WarrenSF,去离子水替代品,0,0,0.4588821332715841
1351097913,1711296725,213860589360,287502458,清凉乄士,实验室买5万的也能用，不过还是娃哈哈便宜,0,0,0.4766414396032565
1351097913,1711294967,213856383728,250685082,卑微的实习土系法师,富则屈臣氏，穷则哇哈哈,0,0,0.380484504865744
1351097913,1711288116,213838418992,1299192138,小铛呀,阿巴阿巴,0,0,0.24157211622551508
1351097913,1711287502,213836766496,381656726,qxwjy,怡宝之类的不都是么，而且均价应该都是一块啊,0,0,0.2088955967412013
1351097913,1711279292,213816571632,1985339366,小狄同学呀小号,电导率我们徐州一模刚考过[doge],0,0,0.2756846671095516
1351097913,1711246480,213740209392,652515598,小典55555,我们这制的是超纯水，已经不能用电导来测了，都是电阻率，圈外人求这种水，圈内人那这种水洗手[吃瓜],0,0,0.4929729611656651
1351097913,1711241680,213731346064,5682260,一曰一膳,哇哈哈和屈成氏，用过都说好,0,0,0.3767987311935803
1351097913,1711207797,213696082432,551398560,周六没上班,超市一块五啊,0,0,0.19279471436423662
1351097913,1711202626,213681716528,2139346427,OPPO-A5,我地位更高,0,0,0.16244646942231628
1351097913,1711200294,213675399424,8258363,andizza,那农夫山泉呢？,0,0,0.2535450888393348
1351097913,1711196738,213666028368,692720286,游小猫猫,我看到实验室也是用娃哈哈[脱单doge],0,0,0.5373347170256877
