Unnamed: 0,oid,timestamp,rpid,uid,uname,content,likes,replies,index_qingxu,index_manyi,bool_tiwen,bool_taolun,bool_wangeng
131,1553190803,1713050923,216779138688,456037775,原罪星魂,什么？这么多玩家破防？,1,0,3,2,2,2,1
300,1553190803,1712977544,216640616480,514084393,影水寒玉,我记得结局有三个真结局要有护符逃离结局我个人感觉悬疑最大，污秽结局挺惋惜的真结局感觉是开放式结局感觉会有后续那时我都期待二，就是不知道会不会有这游戏在音乐美术世界观氛围感在我眼里是在类银河恶魔城游戏里面的第一，主要是我喜欢战斗。,11,4,3,3,1,2,1
418,1553190803,1712933034,216583601680,1856013,酱油心情w,呜呜呜小白巫女你带我走吧,0,0,1,3,1,2,1
94,1553190803,1713076823,216833467216,400995539,纯爱堀,解说的真的好,0,0,3,3,1,1,1
226,1553190803,1712993826,216677510512,152922283,狂欢游行,mili的音乐搭上这个游戏画风真的很有感染力,1,0,3,3,1,2,1
64,1553190803,1713105495,216902862496,10174728,萝莉的守护神,一个游戏机制要给配乐师傅磕头的游戏，,0,0,3,3,1,2,1
197,1553190803,1713005965,216705789264,305657854,秋风离别意填我意难平,up up 魔女之泉开始建文件夹了吗？[doge],0,2,2,2,2,2,1
508,1553190803,1712914354,216536072144,34702756,蚊子IL,来早了,4,1,2,2,1,1,1
409,1553190803,1712934981,216588978304,9894041,杀伐果断不迷失,哭了,0,0,3,3,1,2,1
43,1553190803,1713139084,216940454800,12714231,吃吃节操的神兽的神兽,这游戏除了音乐和美术很顶级，剩下的地图设计战斗手感包括这个剧情都是很差的，相比其他优秀银河恶魔城不值得玩,0,0,1,1,1,2,1
171,1553190803,1713015285,216730120960,515620481,磊打不动啊,别的不说，音乐满分[打call],0,0,3,3,1,1,1
