Unnamed: 0,oid,timestamp,rpid,uid,uname,content,likes,replies,index_qingxu,index_manyi,bool_tiwen,bool_taolun,bool_wangeng
112,15532370,1547141460,1295181967,30905411,珊娘,巧了，正好在学TensorFlow框架,0,0,2,2,1,2,1
269,15532370,1508415375,453808318,33816309,坂本先生Official,妈呀，前段时间还在想三蓝一棕要是做个神经网络多好，结果真的就有了[小电视_吃惊],1,0,3,2,1,1,1
169,15532370,1508764006,458595242,23751701,AriesTech,上学期自己写神经网络分辨图形，然后当我打算进一步做五子棋ai的时候发现自己的电脑根本算不动[小电视_哭泣],4,4,2,2,2,1,1
77,15532370,1612357173,4051130829,13718099,月光下的凤尾猹,棒啊，非常清晰生动的讲述，感觉没那么懵了。不过想要深入理解还是要啃数学[笑哭],0,0,3,3,1,1,1
145,15532370,1510029176,473194661,880740,不以物喜.,请问有NG比较新的双语视频么,0,3,2,2,2,1,1
91,15532370,1594385229,3158583401,4511874,爱学习の竹子,讲的很棒！,0,0,3,3,1,1,1
278,15532370,1508410276,453712506,1856094,千逆夜,投币收藏评论分享一条龙(°∀°)ﾉ,1,0,3,2,1,1,2
37,15532370,1655658761,117507489936,329679173,纪飞s,嗯，肯定有人造过轮子了，我主要想学怎么把他用到我的项目里面,0,0,2,2,2,1,1
9,15532370,1700658242,195503808752,522062324,李白学弟,"[doge]@机器工具人听歌识曲
[doge]@有趣的程序员  总结一下
[doge]@AI视频小助理   总结一下
高能空降
[doge]@课代表猫   总结一下
[doge]@AI课代表呀  总结一下
@ai笔记侠
优质总结内容
[doge]@星崽丨StarZai   提取图片",0,0,2,2,1,2,2
142,15532370,1510183866,474809721,4490137,蕉鲁诺蕉bananaa,惊了 居然做深度学习了 赞美作者 该去patreon走一波了,0,1,3,3,1,1,1
171,15532370,1508762648,458569957,41311632,小明的棉花糖,讲得真好，浅显易懂。（￣▽￣）,1,0,3,3,1,1,1
326,15532370,1508402915,453598183,10284582,K.K.K.,看完了学习永无止境啊！继续加油吧,0,0,3,3,1,1,1
100,15532370,1583247954,2464924830,322864,配伯军士孤独之心,传参侠们冲起来！,1,0,2,2,1,1,2
343,15532370,1508401866,453587153,11901332,ckmrd,ALPHAgo zero刚出就发布了，时机给力！,1,0,3,3,1,1,1
202,15532370,1508592258,456265553,33447504,-Elyina-,无向连通图...,0,0,2,2,1,2,1
58,15532370,1631751268,5405513018,294894761,S-LOOL,考古考古,0,0,2,2,1,2,1
232,15532370,1508480427,454506613,11889290,账号已注销,罗兹居然是这个科普组的(｀・ω・´),1,0,2,2,1,1,1
197,15532370,1508600519,456491059,11363451,齐辩,欢迎来到点个收藏就走系列,1,0,2,2,1,1,2
319,15532370,1508403367,453602965,2849724,XDCedar,在讲MNIST了!!,11,4,2,2,2,2,1
