Unnamed: 0,oid,timestamp,rpid,uid,uname,content,likes,replies,index_qingxu,index_manyi,bool_tiwen,bool_taolun,bool_wangeng
1983,1953056428,1712900391,216509494288,26787618,watermelonex,行骗天下！超爱的日剧啊啊啊,0,0,3,3,1,1,1
1609,1953056428,1712911991,216531079968,433964932,隔壁_郝仁,。。。,1,0,1,1,1,1,1
2367,1953056428,1712898800,216506261232,275598380,穆凉Crush,最快的一次[脱单doge],0,0,2,2,1,1,1
336,1953056428,1713026064,216758752816,629065795,阿布哩多布蕾嘟啾啾,好看，脚本写得真好,0,0,3,3,1,1,1
260,1953056428,1713067284,216809248560,693187103,林一二三四五六七八九,狱友你好,0,0,1,1,1,1,2
1172,1953056428,1712925843,216564933920,46392925,赛博精神病人_,一个商单能做的这么牛逼，我真的是没话说，太牛了,1,0,3,3,1,1,1
1251,1953056428,1712923273,216558500784,319632,齐格非_卡斯兰娜,[doge][doge][doge]要不，咱整个封面争取一下律师函?,0,0,2,3,1,1,2
2029,1953056428,1712899983,216508803776,558709,谷申子,开头好帅啊！[喜极而泣][喜极而泣][喜极而泣],1,0,3,3,1,1,1
1873,1953056428,1712902842,216513998960,16496585,吃不吃知麻糊,好喜欢这个好喜欢这个,0,0,3,3,1,1,1
2292,1953056428,1712898963,216506469904,19109961,9-02,这回真卡了,0,0,2,2,1,1,1
1829,1953056428,1712903944,216515907472,50674816,老秦人不爱饶舌,"你猜我们真看了吗？真贡献播放量了吗？
真的三连了吗？[doge]",1,0,2,2,1,1,2
542,1953056428,1712995667,216681353184,670503043,然染还在流浪,@方海致辞,0,1,2,2,1,1,1
2050,1953056428,1712899835,216508456704,429030,阿久英,最近大家都变帅了是错觉吗,0,0,2,2,1,1,2
1755,1953056428,1712906183,216520031344,326187221,你的眼里能看见我吗,最近刚好在二刷行骗天下[未来有你_登场],0,0,2,2,1,2,1
530,1953056428,1712997430,216685096144,1217344025,沐沐嘴总很碎,积极参与,0,0,3,3,1,1,1
