Unnamed: 0,oid,timestamp,rpid,uid,uname,content,likes,replies,index_qingxu,index_manyi,bool_tiwen,bool_taolun,bool_wangeng
578,1653199190,1713085149,216851857824,260680965,布丁酱是耶耶,广告打的不错,0,0,3.0,1.0,1.0,2.0,1.0
193,1653199190,1713155410,216968273744,61178482,A思维虫洞,汤普逊那里的测试有点水，因为门是开着的，所以门承受的力被缓冲了一点。,0,0,1.0,1.0,1.0,2.0,1.0
71,1653199190,1713181999,217022940736,356602319,不要去追凉喜波虹,西安那天看小米su7的时候正好在展览看了一眼，挺科幻的,0,0,3.0,2.0,1.0,2.0,1.0
367,1653199190,1713107110,216907448064,18399701,-Sunny-520-,老李真是大器晚成[喜极而泣]，我读书时候就关注,1,0,3.0,3.0,1.0,1.0,1.0
652,1653199190,1713078448,216836876080,1841873,小心柚子厨呀,手枪其实应该试试FN57，没准也能穿[doge],30,3,2.0,2.0,1.0,2.0,1.0
344,1653199190,1713109710,216914276928,550325373,失智老鹿exe_,想看修车视频,0,0,2.0,2.0,1.0,2.0,1.0
540,1653199190,1713090298,216864204800,386635141,熙方失败,各位客观，麻烦一键三关[doge][doge][doge],0,0,2.0,2.0,1.0,1.0,1.0
242,1653199190,1713146706,216951083520,125907931,Se彩虹行动,"面包车，改装，头放煤气罐炮，装甲焊钢板，10万搞定。
拖拉机焊钢板，头放巴军火箭炮，20万搞定。",0,0,2.0,2.0,1.0,1.0,2.0
327,1653199190,1713111726,216919123824,39679538,迷茫的老李头,应该测试子弹，比如钨芯弹,0,0,2.0,2.0,1.0,2.0,1.0
131,1653199190,1713169153,216994164208,43764349,杰oker,那啥？沙鹰开始前没有免责协议对吧[doge][doge],0,0,2.0,2.0,1.0,1.0,2.0
296,1653199190,1713115521,216925877488,441896504,文刀刘可爱啊,汤黑这把当背景,0,0,2.0,2.0,1.0,2.0,1.0
580,1653199190,1713084951,216851386208,83703733,星空灵域,防弹又怎样，不防雨有什么用？,0,0,1.0,1.0,1.0,2.0,1.0
610,1653199190,1713081919,216844470672,1041215719,飞豹的车库,想测一下，M1艾布拉姆斯的防弹能力如何[doge],32,8,2.0,2.0,1.0,2.0,2.0
161,1653199190,1713160927,216980329520,350015553,Chmerr,美服刚需，非常合理[微笑],0,0,3.0,3.0,1.0,2.0,2.0
583,1653199190,1713084483,216850274192,21278794,白泽蜀黍HiWeGo,"不锈钢板还是薄了
[吃瓜]",0,0,2.0,3.0,1.0,2.0,1.0
1,1653199190,1713197592,217062238336,45881117,zhbit2005,怎么能没有巴雷特呢[滑稽],0,0,2.0,2.0,1.0,1.0,2.0
240,1653199190,1713147441,216952204400,699731143,浓芋不是浓郁,能防无人机吗,0,0,2.0,2.0,1.0,2.0,1.0
656,1653199190,1713078091,216836275648,1267102711,个6,拜托~开着一辆有弹孔的车上路真很酷唉[doge],0,0,3.0,3.0,1.0,2.0,1.0
343,1653199190,1713109900,216914882080,386229446,我的一束,这一期太猛了,0,0,3.0,3.0,1.0,1.0,1.0
689,1653199190,1713070498,216817909248,480172430,超级臭臭熊,玻璃不防弹吗[doge],1,0,2.0,2.0,1.0,2.0,1.0
257,1653199190,1713135263,216937376592,217547082,emmet_q,刺激,0,0,3.0,3.0,1.0,1.0,1.0
484,1653199190,1713095996,216878669744,1391674705,孙武之裔,家人们，为了加特林！点赞啦！！！！！,0,0,3.0,3.0,1.0,1.0,1.0
70,1653199190,1713182106,217023199152,396838252,柚七莉多雯迪瑶妲虎露,加特林来咯,0,0,3.0,2.0,1.0,1.0,1.0
404,1653199190,1713103463,216897463408,490652726,_-飞驰人生-_,USA合法行为,0,0,2.0,2.0,1.0,2.0,2.0
355,1653199190,1713108090,216910112336,433381941,泓泓野泉洁熠熠林光初,我是那白看的人吗[妙啊],0,0,2.0,2.0,1.0,1.0,1.0
694,1653199190,1713070023,216816672960,12873353,菊花发票,牛逼这价格能挡住手枪真很优秀了[以闪亮之名_吃瓜],1,0,3.0,3.0,1.0,2.0,1.0
531,1653199190,1713091179,216866350464,16131097,三千浮生三千醉,[tv_斜眼笑][tv_斜眼笑][tv_斜眼笑]建议联动北美燕双鹰，找他的大货来试一下@北美燕双鹰,4,1,3.0,3.0,1.0,2.0,2.0
219,1653199190,1713150938,216958392496,3173208,蓝凌冰雪,能试下.45的V冲吗[doge],0,0,3.0,2.0,1.0,1.0,2.0
482,1653199190,1713096588,216880128224,476161897,申家家,亲见冤种版[doge],0,0,2.0,2.0,1.0,2.0,2.0
