,oid,timestamp,rpid,uid,uname,content,likes,replies
128,1053112086,1713148162,216953406704,429655870,恰饭开摆,看前面我以为卖笔的结果…？[妙啊],1,0
107,1053112086,1713155525,216968460656,1780895883,苏向暾,就做横冲直撞的玫瑰吧，在一切破旧褪色中，请你永远明亮闪烁,1,0
568,1053112086,1713012173,216721765072,12975980,30WXXX,好一个天道酬勤,0,0
168,1053112086,1713116332,216926974320,272283235,看什么看啊神经,好厉害的姐姐...,0,0
389,1053112086,1713067135,216808792272,513145209,wshfrdg,这双手太强了[脱单doge],0,0
552,1053112086,1713022962,216751341552,398922448,扭曲章鱼人,天呐好好看...,0,0
464,1053112086,1713058000,216788509504,2935764,大睡如来,这推广诚意满满啊,3,0
410,1053112086,1713064473,216802369632,334819525,怜爱我呐nm,你有点过分了姐，你怎么又会写又会画的,63,2
48,1053112086,1713173817,217003031040,1641851808,糖醋辣味锅巴,我还以为是卖笔的，原来是卫生巾，神金，害我笑了一下,1,0
148,1053112086,1713138363,216939790720,1983281908,要闻好香的馒头,接接接,0,0
17,1053112086,1713190631,217044339952,12550308,包子面条饺子,我以为卖笔呢！你搞了个这个,0,0
184,1053112086,1713108794,216912096896,123831777,丶IOU,冷知识，纯属 up 个人实力，勿上升到笔🌚,29,3
478,1053112086,1713055481,216784352672,58687825,zhuyeiii晚,[tv_色]字也好看，画也好看。,0,0
302,1053112086,1713079857,216840048160,456036115,罗兰卿的主君,以为你是卖笔的[笑哭],0,0
481,1053112086,1713055221,216784021152,435788667,云中乐7,甲方血赚,0,0
88,1053112086,1713160700,216979934896,1229681546,学习勿扰别鹅心人,为啥实验血浆好评[微笑]（纯好奇）,0,2
2,1053112086,1713197077,217061039136,1585362367,云屿721,学会了 送的时候能把手也寄过来吗[doge],1,0
525,1053112086,1713032015,216768121632,1340926427,浮生千页,天啊妈咪，今天上午我刚好要考试就接住了[打call][打call][打call]说话算话,0,1
197,1053112086,1713104928,216901396016,10734768,长春花色,牛啊,0,0
29,1053112086,1713185423,217031229888,4242233,芒果柚子百香西瓜冰,靠本事吃饭,0,0
312,1053112086,1713078489,216837067152,4473868,树洞里的黑猫,我量大，用这个很舒服，一直在用,0,0
316,1053112086,1713077666,216835324816,524374946,hikaricty,逢考必祸[doge],0,0
5,1053112086,1713195502,217057384560,3461581780290385,铃屋ツ,@祁语_pzA1 这我学集贸啊,0,0
103,1053112086,1713156668,216971521584,67301037,没心没肺是种境界,甲方捡到宝了,0,0
466,1053112086,1713057814,216788244160,526149620,三无的头号粉丝,太有心了up,0,0
397,1053112086,1713066130,216806340560,289526347,洗蘑菇啦,看完我一个男的都想买了[脸红],1,0
307,1053112086,1713079399,216839066000,100181466,咩咩的光能耳机,逢赌必赢,0,0
40,1053112086,1713175657,217007328256,415417984,大大格温-,有水平的用什么写都好看,0,0
513,1053112086,1713038626,216773445728,433872393,惦惦的笨狗,世界太颠了,0,0
308,1053112086,1713079325,216838975392,403072471,轩辕十四-秀,这个是speedball的圆球蘸水笔吧，实际上并不特别适合写西文书法，如果要写西文书法的话还是用hunt/Gillot/esterbrook这些厂家的点尖/平尖……[藏狐]不过看得出来国内西文书法圈子确实挺小的,0,0
251,1053112086,1713090292,216864072304,430301044,嘀咕嘀咕卡,你的字写的好好看,0,0
364,1053112086,1713070624,216818345344,98751318,24岁冷艳继父,啊？我还以为卖笔的。,0,0
263,1053112086,1713087460,216857161376,1208466001,太冲十一,独立，自由，丰沛，明亮！就做横冲直撞的玫瑰吧，在一切破旧褪色中，请你永远明亮闪烁！！！,1,0
