,oid,timestamp,rpid,uid,uname,content,likes,replies
6328,830391420,1693479659,183932761664,405580401,是纯纯的牛马啊,我无法证明我是不是听懂了,0,0
5017,830391420,1693500485,183985936320,6326573,A神九夜,"sub (n,n,17)",0,0
7840,830391420,1693461007,183891460080,453615018,沃司恁蝶,匹诺曹悖论：匹诺曹说假话鼻子会变长，匹诺曹说：我的鼻子会变长。如果是真话，那鼻子不会变长，则这句话是假话。如果是假话，则鼻子会变长，那么他说的是真话。[脱单doge],0,0
3755,830391420,1693580992,184121895776,2096884399,iRkii,加减乘除法是具有完备性的吗？,0,0
4656,830391420,1693536667,184019202064,298262814,萌萌哒rooick,比如我就能证明一个命题，数学让我很难学数学是真的，数学如何让他易于我学习,0,0
6396,830391420,1693479030,183931139856,20308908,柯里昂纳Corleone,数学真是又强大又美丽,0,0
4993,830391420,1693501158,183986993680,36975546,CLCLCL2,假如有一个体系或者系统能够统合数学，那么这个统合的行为也是数学，数学或者说逻辑学等等的体系在这一点上本来就是自指的，就连超脱了逻辑这种事也是逻辑的，于是一切都变成了一种不可知的恐怖,0,0
4726,830391420,1693532322,184011616944,156617059,薰薰薰薰薰德甲,实话说 我睡得很香,0,0
2941,830391420,1693666406,184273291712,22634545,十代读作九代,"长评好像被删了，再来一遍。
老哥的这个推理是有一个很严重的问题在的！
推理过程中的字母和数字被混用了！
这直接导致了bug的出现。",2,0
2163,830391420,1693932837,184712993920,1508515221,怀恋-y,一根杆，，，，取半无数次。我们换成圆圈角度去看。。俩条线。。一个面，，一个体。。一根理想线取半无数次。。，去不玩酒肆离去,0,0
2504,830391420,1693756000,184437525888,444792200,我家猫爱吃抹茶巴菲,这个视频有观看门槛[酸了],0,0
1773,830391420,1694332920,185341956400,354940892,goer_pipe,sub（n，n，17）,0,0
349,830391420,1703943781,200944550000,1076518128,月光下的晚自习XD,"sub(n,n,17)",0,0
1399,830391420,1694863478,186187189056,3494380746836702,快乐的心bb,虽然我看不懂，但大受震撼[脱单doge],1,0
5531,830391420,1693489746,183959173120,327630984,薯条l,"好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好

但是听不懂",0,0
5291,830391420,1693494067,183971012416,433359686,安逸的小女子,@钟离菲菲 活的毕导，快来围观,0,0
5406,830391420,1693492013,183965398240,3493139564202637,冰茶多加冰,大自然的本质是随机的混乱的熵增的，这种不完备性恰恰符合了大自然规律。如果一个复杂的体系是完美的，那他本身有可能是不完美的,1,0
6238,830391420,1693480687,183935276432,372101383,一条小蛮妖,兄弟萌，我不行了，死于前戏[热] 15:17,1,1
6791,830391420,1693472957,183915985392,289585145,小宋要看流星,"sub(n,n,17)！",0,0
4140,830391420,1693565319,184080955360,12356685,十二中白队,"理发师悖论不知道怎么算悖论？是翻译问题么？
理发师只给不给自己理发的人理发。
但是不等于理发师必须给所有不给自己理发的人，理发啊？这不是冲要问题。比如理发师这辈子不理发，这个悖论不就不存在了么？或者理发师只去外地找别人理发，不就完事了么？
所以说是翻译有问题么？",1,0
4674,830391420,1693535513,184017072336,4747304,鱿鱼安,自指确实有意思，宇宙太有趣了,0,0
3482,830391420,1693615761,184156839728,612537016,事85糖豆鸭,太下饭了，本期视频建议改为电子榨菜,1,0
6084,830391420,1693482779,183940771056,1978519004,赛博顾南枫,年更up[doge],0,0
1143,830391420,1695343873,186938721552,523426085,只留温柔相觑,真听不懂，要重新念小学二年级了,0,0
639,830391420,1698504329,191996486144,2098865565,莎普爱思有点甜,@AI视频小助理 总结一下,0,0
5512,830391420,1693490072,183960173968,472340051,escnscnj,谢谢，已经看了G（64）遍了,0,0
3260,830391420,1693634653,184197439136,316722634,宇智波一族的后人,啊，知识划过大脑的感觉[脸红],0,0
5282,830391420,1693494263,183971507936,15739193,小朱朱Jerry,"sub(n,n,17)!",0,0
694,830391420,1697891912,191023876064,499900789,荼靡花事未了,好的,0,0
7590,830391420,1693463312,183896256928,438440153,正午十二点的星光,白嫖党心甘情愿的献上了两个币,0,1
7059,830391420,1693469596,183908747488,418896,射命丸萌丸,Sub(n.n.17),0,0
5276,830391420,1693494400,183971953344,36380222,嘿嘿嘿喂狗_,我听不懂,0,0
6523,830391420,1693477190,183926375312,522641790,__滑稽滑稽小滑稽__,如果你知道地球上有多少个汉字你就知道20个汉字最大能表示多大的自然数了,5,2
2360,830391420,1693826134,184532598880,3613650,拿刀砍电线,所以这套理论能用量子计算机推导所有数学？[脱单doge],0,0
2351,830391420,1693830296,184541985232,293286,大湾区SS,多谢毕导，这个视频竟让我想通了很多东西，比如人性，让我能解决生活的问题,0,0
7653,830391420,1693462675,183894925648,49933325,筱丶太阳,我稍微吃了口饭就完全看不懂了[热],1,0
1355,830391420,1694918491,186268803104,66735930,毛边书_,大海是咸的、眼泪是咸的，你也是闲的。,0,0
1291,830391420,1694972108,186386018240,392376379,哦John哦,"sub (n,n,17)!",0,0
4963,830391420,1693502257,183988631280,194325925,南宫虎灬STF,视频很好，嗑完了半包瓜子,0,0
1616,830391420,1694611403,185787564624,1902668370,すいおうめい,@Windsurf1ng,0,0
6421,830391420,1693478784,183930447040,491895643,Riddle_Ender,谢谢up主让我睡了一个好觉，从下午3点一直睡到吃晚饭[兔年][歪嘴],1,0
599,830391420,1698898618,192606201968,399236319,铃儿响叮叮叮叮当,就喜欢这种一个字都听不懂但是没关系因为没有人会考核你的感觉,0,0
2549,830391420,1693748492,184418470048,342913623,Fly_catflyly,我觉得这个视频证明了长视频的留存率跟视频的内容无关。跟视频的讲述方式有关。,0,0
