,oid,timestamp,rpid,uid,uname,content,likes,replies
605,1052925690,1713009304,216714330496,1243964699,稣爱,言传身教,0,0
32,1052925690,1713188208,217037919936,12478571,终须有莫强求_,这边建议加力度，提升生育考试[doge] 考试不合格不让生孩子！[嗑瓜子],0,0
2288,1052925690,1712852684,216450524016,319733099,纯度极低,可以看出我是真讨厌小孩子[笑哭][笑哭],0,0
1052,1052925690,1712942267,216604793456,43171488,小岛没有蓝莓,哇满满的爱,0,0
2094,1052925690,1712870532,216465500448,1233329223,LNk丶来南,看到小孩哭就难受。。。头疼[藏狐],0,0
1595,1052925690,1712912155,216531264672,91576910,廢話連篇bot,小意和妈妈都好好[大哭]看得我尸体暖了一点,0,0
1060,1052925690,1712941408,216603623184,19074148,怪兽的第二人生,论正确教育的重要性[打call],0,0
1642,1052925690,1712908251,216523739136,456272082,小曹法师,@憨皮不吃辣 快看，泪目，我希望把我娃也教这么好,0,0
1427,1052925690,1712921103,216552831520,100345921,会戏腔的铁光嘤,冷知识，章鱼一生只能生一胎，生完后牺牲[热],1,2
1140,1052925690,1712935916,216591337328,3493144735779455,罗婕的Hank,哎呦被治愈到了呜呜,0,0
631,1052925690,1713005024,216703257088,515535963,bili_91473041115,"一片海苔而已，有必要么？别说教育什么的，但凡是个正常人长大了随便提几句都会知道。
别说你们一个二个一点礼貌不懂。懂礼貌的都是这样被教育的。
难道以前父母不是这样教育，人类就都烂透了？",0,0
1239,1052925690,1712930770,216577492912,1431764,我爱讲实话,又想骗我生小孩,0,0
1964,1052925690,1712887282,216482143696,3494374111447379,元山旧约,额，就，要是有人抢我的东西，还是在事先安排好的情况下，除非他明天会死，否则我今天就扇死他,0,0
779,1052925690,1712988241,216666252464,334035118,简直是神仙过的日子嘛,@大唐国际局 有这样的父母孩子不会差的，品德最重要,0,0
42,1052925690,1713183213,217026017584,25223223,阿不维,真想有你这样的妈妈,0,0
