Unnamed: 0,oid,timestamp,rpid,uid,uname,content,likes,replies,index_qingxu,index_manyi,bool_tiwen,bool_taolun,bool_wangeng
2306,1753152834,1713152418,216961300528,297181230,傾城烟雨,尊重他人，自己选的，往好的想g了，好给别人增加了就业机会[doge],1,0,3,2,1,1,2
1253,1753152834,1713168656,216993310416,9569261,Flipu,98还是298一斤，都是生意,0,0,2,2,1,1,1
4161,1753152834,1713112780,216921251264,241256986,咕贝伦,翻译一下它们啃硫磺的行为：约等于啃炸药[脱单doge],0,0,2,2,1,1,2
5608,1753152834,1713095873,216878238384,257113,爱卖菜的种花家老司机,嘉靖：“我好歹都炼一下丹，你们倒好！直接啃！[微笑]”,0,0,3,2,1,1,2
3527,1753152834,1713130760,216935346608,289253022,三栅极男巫,@Chubbyemu 来素材了[doge],1,0,2,2,1,1,2
3399,1753152834,1713136868,216938457872,39907103,潮汐星河,三大谣言中的第二个和第三个是紧密相连的，疫情期间，有多少人一边反现代医疗，有多少人一边学中医自救。看倪海霞的视频，经常以伤寒杂病论，和老祖宗的智慧为傲，给自己抓中药，给她妈看病。,1,0,2,2,1,2,1
4286,1753152834,1713111619,216918916016,9419272,丨我嘞个去丨,达尔文奖必须得发给这些人[OK][OK][doge][doge][doge][doge],0,0,2,2,1,1,2
2993,1753152834,1713143854,216946599104,60277422,真正的新手求指导,就单独视频里片段“至刚至阳的药”这一点有让你随便吃的意思吗  就算是武侠小说里这种东西没有顶级的武功秘籍也没法吃吧[抠鼻],1,0,2,2,1,1,2
892,1753152834,1713176921,217010319024,3461582164069243,哈里路大风旋,我的评价是多吃点，喜欢老郎中的可以一辈子找老郎中[惊喜][惊喜][惊喜],0,0,3,3,1,1,1
2363,1753152834,1713151788,216960103344,1339951092,西瓜霜当饭吃,我们初中科学老师好像说过硫磺是受管制的，因为能做炸药，他给我们做实验用的都是申请了才批下来的，怎么现在都能直接买了？,1,0,2,2,2,1,1
2260,1753152834,1713152830,216962139568,510293267,甲鱼1029,这些人怎么都还活着？,0,0,1,2,1,1,1
222,1753152834,1713192056,217048065968,21529863,彡Poseidon彡,果然历史是是个螺旋啊。。几百年前也有那么些人鼓吹硫磺水银红丹吃了长寿健康。。。然后死起来都是连户口本一起死的。。。。。,1,0,1,1,1,1,1
5534,1753152834,1713096145,216878988576,562510810,十六颗糖,看这个像前段时间流行的那种异食癖干土,0,0,2,2,1,1,1
1699,1753152834,1713158907,216976518256,1776293368,盲目的克利俄Clio,[doge]滋阴补阳这个功效真的太万能了,0,0,2,2,1,1,2
1146,1753152834,1713170788,216997202832,97764775,南方燕_,全是短视频断章取义，最后成了中医背锅，要学就去系统地学，而不是断章取义,1,0,1,1,1,2,1
3986,1753152834,1713114774,216924804432,553811125,怡宝水呀,我爸，我爸，我妈说从我们小时候开始呢，当时一天工资20元，他听了广播说有一副药还特地跑过去买500块钱，白瞎了。然后到现在差不多60岁，天天吃药，天天看手机，都觉得自己能够医了。,0,0,1,1,1,1,1
4173,1753152834,1713112646,216921030704,3493083410860197,劝我别善良,某度有个朱砂哥，也是入了魔了,0,0,2,2,1,1,1
5174,1753152834,1713098928,216885928464,23414732,木子喵律,是药三分毒，但是[doge]这是人类正常的淘汰机制，能上网刷视频不能细细看看使用的副作用。,5,1,1,2,1,1,2
739,1753152834,1713180475,217019251696,24249547,快说谢谢卡尔卡诺,嗯造五石散啊嗯,0,0,2,2,1,1,2
2896,1753152834,1713145181,216948660880,13985820,痛苦的馒头,哈哈哈，什么蠢人都有，逗死我了。,0,0,3,2,1,1,1
2591,1753152834,1713149768,216956178592,66688183,熬夜秃头患者早睡中,吃死活该。那脑子都不带转的了,0,0,1,1,1,1,1
7,1753152834,1713197415,217062006928,391608617,_bigE_,@Chubbyemu 素材来了,0,0,2,2,1,1,1
3897,1753152834,1713115900,216926415920,660684741,天之痕糯米,以前在中国国家地理看过这一篇文章，讲的是硫磺工的故事,1,0,2,2,1,2,1
4598,1753152834,1713108057,216909984576,1646848393,一不识字一,古人有句老话，是药三分毒,0,0,2,2,1,1,1
3668,1753152834,1713120714,216931060528,636338974,宅家里不出来了,建议硫磺加生石灰，配生命之水服用，夜晚服用安眠药和150克巴豆浓缩精华，可做到养毒排颜的功效。,2,0,1,1,1,1,1
3213,1753152834,1713140250,216941800848,34228383,神代梦叶,生啃硫磺，，，，哥们你是个人才啊,0,0,2,2,1,1,2
2755,1753152834,1713147203,216951820400,43903267,轩辕大柱子,这就是现代生存法则，不懂法则脑袋不好用的就被淘汰了[doge],4,0,2,2,1,1,2
4959,1753152834,1713102517,216894978288,145100255,目标达拉然,生物多样性的自然选择，挺好的,0,0,3,3,1,2,1
2253,1753152834,1713152927,216962416608,1890097027,夜已至此,食品不乱，你怎么吃坏肚子。工作不长，你怎么会花钱那么多花里胡哨的器具，你怎么花更多的钱保养你的身体。检查不多，医院怎么赚钱，什么急诊，急诊就不用检查吗？老老实实检查去！,0,0,1,1,1,1,1
5797,1753152834,1713095350,216876982288,286401118,粉蒸菜,硫磺解毒丸？[笑哭],11,7,2,2,1,1,2
5501,1753152834,1713096263,216879378176,519603238,ホタル好きです,纯天然与狠话[妙啊],5,0,2,2,1,1,2
2797,1753152834,1713146544,216950697856,674390188,三万丁,你咋不直接喝硫酸[吃瓜],0,0,1,2,1,1,2
4586,1753152834,1713108224,216910467008,16592243,李姥姥的猫,这直接啃?是修仙界来的?还是武神界来的?,0,0,2,2,2,2,1
5050,1753152834,1713100907,216890711632,39041724,吃掉派蒙屑,这玩意吃多了埋起来肯定有防虫蛀的作用,370,13,2,2,1,1,1
1256,1753152834,1713168534,216993066592,64269837,叫我雷劈,"硫磺：性温，味酸，有毒
归经：肾经，大肠经
自然元素类矿物硫族自然硫，采挖后，加热熔化，除去杂质；或用含硫矿物经加工制得。 
主治阳痿，遗精，尿频，带下，寒喘，心腹冷痛，久泻久痢，便秘，疥疮，顽癣，秃疮，天疱疮，湿毒疮，阴蚀，阴疽，恶疮。
养生泡水的药大部分是君药，君药在《本草经》记载是无毒的，但是养生有前提条件，不论补也好，泄也好，都要根据自身情况而定，医道虽繁，大道至简，无非阴阳尔，人会自我平衡，在没病的时候吃药就是在破坏平衡，更容易导致生病。
我也是自学中医，但我不会用药物养生，很蠢。",18,1,2,2,1,1,1
3418,1753152834,1713136456,216938058112,45575142,朝宛银雪,天地之間至剛至陽——太陽，吃太陽大補，但是吃不到太陽怎麼辦呢？,0,0,2,2,2,1,1
82,1753152834,1713195445,217057309088,232569724,阳关外的故人,吃了屁会臭啊,0,0,1,2,1,1,1
5346,1753152834,1713097192,216881498704,89589079,清隆莙,啥时候这帮人叫我们吃紫河车补身体，想看看到时候网上视频能不能上传[妙啊],0,0,2,2,1,1,2
4192,1753152834,1713112516,216920769824,24062687,葛道三,倪海厦自己都没活过60岁，怎么有人敢学他的[微笑]。,3,8,2,2,1,1,1
