,oid,timestamp,rpid,uid,uname,content,likes,replies
163,1253072980,1713126618,216933915600,544297283,开飞机的舒克86,翡翠白菜那个我是新闻上知道的，当年有个台湾新闻，白菜展览的时候被观众发现磕掉了一块[呲牙],1,0
388,1253072980,1713075611,216830817680,241036304,时渔舟唱晚,正确率高达百分之七十……,0,0
238,1253072980,1713101431,216892164016,494345228,look付,up主你的肝好嘛？这么喝酒，脾气又不好[滑稽],0,0
173,1253072980,1713114989,216925020672,520191381,这不是开玩笑嘛,高中不是知识储备的巅峰，而是知识汲取的巅峰；在这个时期，你要文理俩手抓，在每个几无干系的学科之间寻找平衡支点，汲取不同的文化内涵，获取不同的知识理解,20,0
211,1253072980,1713105808,216903722592,549575043,谢桔子,喜提新书架 恭喜,0,0
503,1253072980,1713069802,216816067296,514347137,bili_99915433158,先点赞后投币，等我喂完脑袋后就来看。[星星眼][星星眼][星星眼],0,0
8,1253072980,1713192431,217049157728,5177122,别有远山,物华弥新好玩吗,0,0
196,1253072980,1713108276,216910598112,130968361,排版先生,中學生,0,0
193,1253072980,1713109194,216913024752,1678428752,不见世间半点可怜,没几道题会，话说有学过吗,0,0
526,1253072980,1713069423,216815145792,509946847,FFz-千灯,我认为是社会人，起码高中时期我不会点外卖，不会坐地铁也不会网上买车票，更不懂怎么赚钱,1,1
558,1253072980,1713069215,216814399632,325355160,我陌生你了,冇巾圥玍[doge],1,0
272,1253072980,1713096378,216879488128,38641001,枞川晓鱼,两枚硬币奉上,0,0
203,1253072980,1713106899,216906757264,1053929541,柒柒的岐岐,@是啸啸啦 @泥巴巴巴巴巴巴巴巴巴,0,0
97,1253072980,1713155333,216968041728,508259031,ZZX234,地铁上禁止做调研[笑哭],0,0
344,1253072980,1713083702,216848451488,4129714,泳い金魚,中学更多的是通识吧,0,0
179,1253072980,1713112578,216920898992,503256252,_净干很色绿,有山先生确实很厉害的,0,0
537,1253072980,1713069362,216814933600,687942075,孙其九,无所谓高中生已经烧了,0,0
343,1253072980,1713083749,216848642592,703022039,ABC2578577,这些诗人活着的时候，他们知道自己的这个外号吗？,1,2
269,1253072980,1713096722,216880397936,390061810,丨精灵王富贵丨,高中那是广度不是深度,5,1
497,1253072980,1713069867,216816351712,390287699,刘王大大,中学生相当于大杂烩，学术领域什么都知道点，但社会技能真可能不多（当年高中一半人甚至电话卡都没自己办过），大学生开始深入学习某专一学术领域而抛弃了其他领域，并且开始逐渐学习社会知识，而到了社会就要看什么职业，要那种频繁在不同岗位上跳槽的人或许什么都知道点但什么都不精通，在一个岗位上干的久的人又要看干的是什么，有些低端岗位干在久也终有一天会被淘汰，而有些岗位比如研究人员，技术人员，教师，医生这些是越久经验越丰富越有价值，总之很复杂,1852,26
418,1253072980,1713072114,216822349456,195100482,三克卿和大脸猫,红楼梦是石头记，大学生竟然还有不知道的？,1,1
468,1253072980,1713070608,216818330480,1853892854,一只小野鹜,毕竟是应试教育，很多东西学完之后，后面不看就忘了[热词系列_泪目],0,0
484,1253072980,1713070200,216817219056,16252907,摩羯巨蟹的小羊,这个活动很有意义诶，不过如果我碰到的话在没看到题之前我下意识也会排斥，因为一般这种都是推销或者卖卡的,14,0
453,1253072980,1713070994,216819199536,16662676,今天吃汉堡薯条,建议AI加入比赛,0,0
369,1253072980,1713078028,216835998784,631844340,多多の应急食物,[脱单doge],0,0
217,1253072980,1713104527,216900285168,203309770,雾语毋晴,就有三道题不知道[脱单doge],0,1
532,1253072980,1713069390,216815014624,661645678,轶茗的斋和,山啊啊啊，你变了，20年的你不是这个样子啊[大哭],2,0
542,1253072980,1713069314,216814789376,1066138372,漂流世界的咸鱼,[吃瓜][doge][doge]刚来,0,0
530,1253072980,1713069395,216815121248,1043861617,废柴小林呀,学历高低真的不是评判学识高低的标准。挺悲哀的其实，我大学三年每天都很忙但不知道忙什么，只知道群里收到收到！手机都玩吐了但又不得不依赖着手机[大哭],177,7
353,1253072980,1713081810,216844312416,38626052,只想躺平别来烦我,为你的调研精神点赞,0,0
509,1253072980,1713069660,216815774880,1327912,有出先生,那必是我了[脱单doge],61,5
21,1253072980,1713188430,217038652528,1150089255,是白苍非白仓,我们无悔与三国杀玩家不服[妙啊][妙啊][妙啊],0,0
403,1253072980,1713073577,216826081904,2030570852,八面招魂,不是，你竟然还去找外卖小哥来玩这种“游戏”啊[辣眼睛][辣眼睛],1,1
60,1253072980,1713168846,216993617984,327630162,只影天涯行,有山还活着呢🤣🤣🤣,0,0
308,1253072980,1713090683,216865085440,615517973,本一闲人,"学的越多知识越窄
社会组哪一分大部分人应该都是了解宋美龄喜欢的白菜翡翠之类的新闻
在学习阶段更多的在于学习，很多其他的事情基本都能不操心
学习阶段结束就要面对生活了
生活没有什么标准答案，每个人追求的也不一样，每天要操心一日三餐衣食住行了，对成年人来说，能够静下心看书时一种奢侈，除非养成了这种好习惯。
下次再类似的调查可以去图书馆看看、、、",19,0
367,1253072980,1713078415,216836851744,454578209,淘米水淘米,男高,0,0
199,1253072980,1713107592,216908758128,3546392842733983,lida133333344444,sen,0,0
473,1253072980,1713070418,216817676384,4033117,打醬油的A君,03:29 [doge]@落九川,3,0
571,1253072980,1713069185,216814371456,410531817,卯月初五,啊啊啊啊啊啊正好看到[打call],0,0
107,1253072980,1713152997,216962454144,52865461,惊天殇,"别了吧。。。中学的知识量远不如矣[藏狐]
中学一个学科三年的知识量，也就相当于本科一个学期里面的一门课的知识量[喜极而泣]",6,2
71,1253072980,1713161864,216981835536,564130799,莎菲尔德米艾诺,汉语言文学专业，错俩,0,0
260,1253072980,1713098418,216884472896,1495114182,是烈海王不是海王,能用的叫知识，那不能用的叫什么呢？,0,0
75,1253072980,1713158962,216976557984,2276453,常陆桃花,反正我上学的时候，语文就一直是及格线徘徊的程度。。,0,0
137,1253072980,1713148619,216954152448,1375616040,铜鎏策马金木狼烟zz,[抠鼻],0,0
116,1253072980,1713150153,216957041568,51334262,舰长陪我擦甲板,"作为缺乏文化素养的人来说，有关古代的文学大部分是一窍不通，有印象但是都不太准确。唯独就这方面知识比较有限。
我目前是研0，结束了本科阶段的学习对自己的专业方向有了一定的了解，我们审计学专业还是比较注重理论与实践结合的。四年过去了通识知识基本忘光了，大部分专业也不可能用到考的那些文学知识。
工作实践中我能想到的文学知识的唯一用处就是向他人表现自己文化功底深厚了，更多还是专业实践知识的使用以及沟通技巧、为人处世得运用。
这个测试真就是闹着玩[辣眼睛]",1,0
538,1253072980,1713069358,216814929696,28626598,有山先生,我在出差，马上飞上天了没信号，等我落地回复大家啊，请大家善意评价，留下硬币，不然山山我要哭哭[UPOWER_28626598_感人],18,2
552,1253072980,1713069250,216814735168,39655711,路人哏,[呲牙],0,0
103,1253072980,1713153882,216964510112,33103242,吃橘子的火旺,我觉得本科的我薄纱我高三的自己[doge],1,0
584,1253072980,1713069165,216814429728,1249115508,是翘翘捏,[doge][doge]刚来,0,0
551,1253072980,1713069253,216814671056,549865273,-白嫖之星--,"大学生的知识储备真的大于中学生吗？这期另辟蹊径的视频或许会给你一个不一样的视角。
书籍是人类进步的阶梯，好兄弟，你有多久没静下心来阅读了？
大家离开校园也千万不要松懈学习呀！
物华弥新谷雨正式公测，4月19号，是兄弟就和我一起启动物华弥新！
有山顿首，么么哒( ´͈ ᵕ `͈ )◞♡",11,1
191,1253072980,1713109538,216913836848,503750079,电路板听不懂话,有没有可能中学组一个班的不严谨，会互相告诉答案,0,0
543,1253072980,1713069310,216814804528,112132428,Wz非君子非小人,[热词系列_什么叫惊喜],0,0
386,1253072980,1713075699,216830982032,513332525,极目星辰,我想到一个问题 ，中学生一起做这个题可能会讨论？影响正确率[微笑],0,5
281,1253072980,1713095342,216877043088,471808889,下饭院长-辰,错4道[笑哭],1,0
67,1253072980,1713163847,216985081776,384842030,江海河山,有没有可能我研究生但是一个不会[大哭],0,0
560,1253072980,1713069203,216814387744,421368970,Dr_清明,早,1,0
236,1253072980,1713101831,216893071424,108056523,懵懵哒小虾米,学习难道不是学的方法论？,1,0
302,1253072980,1713092101,216868609520,1309220883,不道凌云志,给班主任发的消息是什么当代陈情表[滑稽]更喜欢有山了,3,0
368,1253072980,1713078083,216836269824,1353403597,bili_84425291925,两小时，还热乎,0,0
160,1253072980,1713130449,216935301024,3493278280321999,有魔力的椰子,我初中知识算多的，不管你问什么，我都知道点，真就是那种上知天文下知地理，高中高考一心学习，大学学习专业，知识面窄了，工作就跟别说了,0,0
522,1253072980,1713069515,216815316528,1349465099,zzh123780,"还以为弹幕坏了
结果是来的太早了[doge][doge][doge]",0,0
304,1253072980,1713091489,216867151072,521325931,物华弥新,感谢有山先生的调查分享，看来不同类型的收藏家知识储备都各有千秋呀[来古-震撼]  更多文物科普知识和器者故事，诚邀各位前往4月19日谷雨公测的《物华弥新》中进行体验。[给心心],155,5
131,1253072980,1713148926,216954769248,405498498,韭菜本菜cdr,有点儿抽象感觉。,0,0
283,1253072980,1713094991,216876108448,490091712,中国伟大的母亲,有山先生这方面不如高中毕业生户晨风,1,0
331,1253072980,1713087607,216857473872,3546386467391948,后亦村初夏,中学学的东西很笼统，在社会基本用不上，但却是一切的基础，很多思维方式都是在中学学的，大学直接就反问你这都不会了,1,0
275,1253072980,1713095862,216878277360,28161201,佳慧DOOLY,[来古-呆滞],0,0
514,1253072980,1713069591,216815620736,626432283,躺着也中枪吗,有山的视频真的用心，有调查、分组、解答！时长超爱,8,0
108,1253072980,1713152684,216961832672,478321459,如沐春风113,矿泉水儿[笑哭],0,0
465,1253072980,1713070680,216818395136,438854231,無一适处,幸好是学汉语言的，不至于太给大学生丢脸[笑哭],3,0
575,1253072980,1713069179,216814365808,315569441,田祐良,早啊,0,0
40,1253072980,1713180208,217018676256,1157240879,李悉虞,"大学生，错了4个。
三曹，铜奔马，米芾，猫头鹰
说实话这些题涉及到的知识很庞杂，就我个人而言如果是中学时期的我，三曹那道题一定不会错，但是做对的题目里有很多都是上大学之后自己拓宽知识接触到的，未必能做对。作为一个快毕业的大学生，我真心觉得大学确实是一个人的人生中最空闲无虑的时光，对于这种课外知识，掌控程度应该是最高的",1,0
517,1253072980,1713069569,216815440000,1042586310,宁南左侯大花花,高三就是我的知识巅峰[doge][doge],1,0
7,1253072980,1713193135,217051153312,6682903,德鲁伊之心,"知识储备下降了，但是智慧提高了[doge]
老子曰：为学日益，为道日损，损之又损，以至于无为，无为而无不为。取天下常以无事，及其有事，不足以取天下。",0,0
346,1253072980,1713083642,216848382096,403279256,无逆鳞之所谓者云云,我六级答题问题只有64，那些大会员出的够狠[tv_思考],0,0
348,1253072980,1713083338,216847676432,699721814,东风穿林,我去，上次看你视频还是高三，现在大二都要过完了[大哭][大哭][大哭],1,0
