,oid,timestamp,rpid,uid,uname,content,likes,replies
384,1652934832,1713028824,216763844144,227761970,lxh95270,这泼天的富贵终究是被你接住了[脱单doge][脱单doge],7,0
3828,1652934832,1712847578,216437789856,11505319,铭刻死后的凄凉,怎么看，命确实硬,0,0
865,1652934832,1712982440,216651989728,240893590,爱你的流莹,众所周知，理想的充电站和换电站，给其他牌子的车充电和换电比自家车快,1,1
5653,1652934832,1712833241,216402256352,12625785,艾米丽鹰眼,拿一辆民用车在明显感觉刹车皮有磨损，还要硬上速度，这不是为了流量我是不信的。,1,0
6308,1652934832,1712828424,216390941808,2056064428,爱笛笙吹笛子,冲大钱了,0,0
6603,1652934832,1712825455,216384783120,71377135,归人路,投币回血,0,0
6148,1652934832,1712829590,216393630832,563870388,千奇百怪的草,呵,0,0
3780,1652934832,1712848120,216439190112,10440779,雨轩Hins0001,热度吓人,0,0
296,1652934832,1713068999,216813960768,83447528,牛逼-class,小米还不送一台给堂主,0,0
4741,1652934832,1712840153,216418684240,403026558,你妹的昵称已使用,赛道边上的沙地能做的更长一些么？那样是不是就不会撞了,0,1
7963,1652934832,1712811030,216358273408,266054180,xiaoguai-,有征兆知道磨没了还开，这不是菜是啥,0,0
2025,1652934832,1712902526,216513531376,29385274,bili_29385274,剪辑得跟电影似的，你是要拍电影啊？,4,0
7922,1652934832,1712811196,216358675856,33516862,键盘操盘手,菜就菜还说这么多[脱单doge][脱单doge][脱单doge],1,0
2352,1652934832,1712892870,216492339888,252650171,punkbrat,为了流量拼了[疑惑][疑惑][笑哭][笑哭][doge][doge],3,0
5760,1652934832,1712832655,216400710544,9255077,查理的电玩批发店,省流原因：我的脚就是尺（知道刹车皮耗完了），但我脑子上头了[笑哭],3,0
5377,1652934832,1712835152,216406849072,81354460,燕山飞艇,"“我努力了无数次了，我知道，机会只会出现在，这其中的一两次”
  ———巴音布鲁克永远的主",0,0
890,1652934832,1712979896,216645769936,289444230,郎朗头号粉丝,我玩巅峰极速都知道，到这个地方就得开始漂移了[脱单doge],3,1
1372,1652934832,1712927583,216569485664,691029062,飞天舞雪,up主记住四个字：番车去足。你早晚会明白的。,0,0
2916,1652934832,1712874958,216467385312,3546583167666192,风清飏,[笑哭]我想问一下一台车刹车皮正常使用能用多久,0,7
6527,1652934832,1712826355,216386564400,13487654,坏家伙lei,玩车很正常,0,0
5925,1652934832,1712831387,216397833808,513785037,bluewizardbear,堂主只要每次开心开场，节目效果就是拉满！,2,0
6629,1652934832,1712825179,216384073472,3546586594412930,过来白嫖的略略略,这人蹭小米热度,1,0
6665,1652934832,1712824792,216383541456,434571339,BiKing567,我刚提的SU7啊[脱单doge][脱单doge],2,0
1154,1652934832,1712937818,216596119360,606732547,混沌过日开心活,租的车搞成这样不太好吧。差不多等于全损了。咋不自己买一台来造呢,0,6
7950,1652934832,1712811073,216358342736,27195246,雷射呱呱,恭喜粉丝全损，喜提新车,0,0
1147,1652934832,1712938079,216596822672,222420059,九洲大侠,排面了,0,0
1762,1652934832,1712912187,216531465008,178844803,EEEn1,泼天的流量，接好,0,0
6332,1652934832,1712828203,216390566384,86692415,遒氓燊潸,热门第一了[doge],1,0
6930,1652934832,1712821980,216378495552,19328425,aidaoshang,今天科普的很好,0,0
2995,1652934832,1712864051,216463193424,119026954,尊尼nim,堂主su7全测评,0,0
6416,1652934832,1712827480,216388937216,24318582,东天之雨,用民用刹车玩专业赛道。。。。,0,0
7515,1652934832,1712813684,216363996128,489429814,85468007,雷军看到你们这么玩，得笑死,0,0
1312,1652934832,1712930040,216575643920,536522364,黑暗破坏神达克秀耐达,希望电车出个8秒，10秒破百的模式。普通人，普通路，没有3秒破百必要。也容易晕车，看到别的回复的，油车不晕，电车晕。,0,5
3017,1652934832,1712862505,216462288272,383652361,阿达西椒麻鸡,"1、小米这车真不错，民用级别可以跑赛道；
2、撞车测试被你提前做了，被动安全很棒。安全气囊及时打开，车窗玻璃及时降下来，SOS即刻接通。整体结构没有损伤，没有断电，车门正常打开，人没事。挺好。
3、这车跑赛道没问题，就是注意刹车盘问题。后续可以改装轮胎和刹车盘继续跑圈。
四，这个事情的开始和结束没有任何损伤人和车根本性的问题，只是因为就跟我们打游戏一样，快拿五杀了以后瘫了贪心而已。所以事情结束，小米苏七的挑战之路仍会继续。",155,6
3761,1652934832,1712848287,216439695440,446580657,hypocrisy点点,不懂车，来个人说一下，这车咋样。,0,3
7328,1652934832,1712815891,216367972992,2111803754,b站卖鱼贩,堂主演飞驰人生1是吧[doge],1,0
4211,1652934832,1712844265,216428990576,32748488,B站托尼史塔克,主要是这样更有流量,1,0
6159,1652934832,1712829491,216393387680,593888601,Kaleidoscope桜,幽默我的车,1,0
