,oid,timestamp,rpid,uid,uname,content,likes,replies
51,341537050,1654522846,115823463408,176723437,-望云销-,我记得我小学几年级的时候体检出来铅中毒，当时吓我爸妈一跳。[辣眼睛],4,2
127,341537050,1652778796,113329881936,357186113,57酱可爱捏,这好像是某一个托福听力诶！,0,0
266,341537050,1652503625,112925543328,1514852,信春哥防跨省,氟利昂这个倒是姑且不能怪他，含铅汽油这个我觉得应该算反人类了[阴险],188,53
132,341537050,1652761705,113304643712,535818904,科比_布莱joker,我还以为是byt[捂脸][捂脸][捂脸],6,1
237,341537050,1652511304,112940003184,669208668,荒乀,我从小就喜欢闻汽油,0,0
218,341537050,1652523302,112962978752,119855738,Wanderingx,含铅焊锡丝怎么说,0,0
247,341537050,1652505737,112929902224,8458794,液氦Ⅱ,只能用逆天来形容,2,0
87,341537050,1653491286,114341100880,3710505,星白炭,国外香甜的空气原来是真的呢[妙啊]错怪了,4,0
284,341537050,1652502431,112922843632,179271,守谦退之节,[妙啊]老哥快成苏格拉底或柏拉图了,7,0
101,341537050,1653044014,113689644400,560349507,茫氪跑来跑去,哪里看出来的攻击性，你自己有偏见吧,0,0
182,341537050,1652590274,113063654656,2093092,7gugu,赞美翻译👍,1,0
89,341537050,1653489037,114336094016,504663868,清晨雨天,小时候进入地下车库时，特别喜欢闻里面的汽油味，当时还以为是我个人的问题,0,0
52,341537050,1654457213,115734733168,16626119,就算世界毁灭,显然这不是一不小心啊，这是明知故犯啊,0,0
57,341537050,1654391476,115621209008,673514,爸比说,这一波操作里很多科学家的出卖灵魂，导致后面很多关于科学的阴谋论、生意经时，比如全球气候变化、转基因之类的时，也都让人难免也心生疑虑，拿还没形成确凿证明的科学研究背书时也要心虚了。美国那么多阴谋论、反智言论，美国政府和大企业、科学家真的骗过他们也是一个原因。,0,0
148,341537050,1652690889,113213769632,1511330346,Hamiltoniu,youtube看过[tv_doge],1,0
194,341537050,1652539819,113001525856,349487333,F4ntasy_,专业的视频看的就是爽，与时长无关,10,0
71,341537050,1653793536,114759110992,241468357,西海岸SonOfBitch,有个不懂啊，铅的密度这么大不应该沉到海底吗，怎么反而水面分布更多,0,1
47,341537050,1654894373,116363023472,646885510,别删改rickandmorty,大自然中还有强酸液呢！也是天然的，你喝一口看看？！,2,0
302,341537050,1652501326,112920375264,6952332,Beschleunigen,"看到标题,我以为,这个科学家他自己......",86,8
214,341537050,1652524364,112965460064,17433794,梦初见又离别,"资本来到人间,从头到脚,每个毛孔都滴着血和肮脏的东西。",3,0
125,341537050,1652784818,113341615072,32194320,SixBeetle,害，我每次一出手就能夺走数亿生命[doge],4,1
151,341537050,1652671605,113183390272,6291523,焦璐96,学习,1,0
99,341537050,1653127489,113812636736,475831537,搁这儿看啥呢,铅的危害性太高了，天,1,0
228,341537050,1652517360,112950649888,646695763,账号已注销,热知识：中国于2000年1月1日全国停止生产含铅汽油，于2000年7月1日停止销售和使用含铅汽油。,538,24
