,oid,timestamp,rpid,uid,uname,content,likes,replies
4,1002891118,1713193485,217052060864,55527693,南希兎,女演员战袍不行呀,0,0
207,1002891118,1713078988,216838183888,456699211,大红果子,张镇辉不是打篮球的吗，什么时候去打台球了，是不是因为没听妈妈的话,1,0
6,1002891118,1713192972,217050624144,120994988,神圣之刃路德维希,学会了，已经吃上医院的康复餐了。,0,0
402,1002891118,1713029504,216764891552,336173173,张起灵追我被拒,[脱单doge],9,1
694,1002891118,1712978077,216641735360,818651,寅玥,[doge]熟悉的味道,1,1
324,1002891118,1713060903,216794351328,644718623,Somebody_Zhou,@晴and空,0,0
342,1002891118,1713056183,216785452672,387915741,Jh_404,@花六个硬币改个好名字 @她不入世俗 @Summblue @我是什么__ @口口口少年 @赤伦ioo @KinVerse丶,0,0
634,1002891118,1712999142,216688916624,3493106223679884,不开心的派蒙,打台球的和不打台球的都沉默了[脱单doge],1,0
24,1002891118,1713177404,217011701344,517295575,bai给的芷,张正辉台球外挂教学[doge],0,0
163,1002891118,1713085871,216853471104,272780443,greensaaaalllt,@哈哈哈哈哈哈zy_ @椒盐三明治,1,0
318,1002891118,1713062225,216797227136,36604680,薯片儿qwq,甲塞完捞塞，辉哥是直肠子[doge],2,0
389,1002891118,1713033611,216769818832,55768,火箭发射工,从未关注，但是怎么这么多期了还有新活儿,1,0
225,1002891118,1713076334,216832365344,8170101,伊丽莎红,去年三体打台球的片段让你拍就好了[辣眼睛],1,0
182,1002891118,1713082088,216844915472,34402923,BlueisI,我一个不会打台球的，还以为是真的可以这么操作，看到把黑球直接吸起来直接蚌埠住了。,2,0
667,1002891118,1712982907,216653262256,1792224,season1000,还是这个系列好看[脱单doge],1,0
552,1002891118,1713007497,216709689296,504893125,斯卡蒂她老公,咱们中国还是有500的[脱单doge],1,0
706,1002891118,1712977412,216640295808,336170926,守护安妮宝宝,震辉传媒[吃瓜],7,0
94,1002891118,1713105286,216902365616,105451047,萌萌哒逗比小象象,最近几个月突然刷不到了[滑稽]被迫敲字搜索了,1,0
560,1002891118,1713006408,216706899264,70494144,六十一年,终于又刷到靓仔了[笑哭],0,0
621,1002891118,1713000442,216692004576,416453809,Mango_Bird,@Su-n_F @我爱羽毛笔_,0,0
343,1002891118,1713056080,216785303632,2779648,无九九九九啾,哈哈哈哈哈哈哈哈哈哈太幽默了哈哈哈哈哈哈[大笑],1,0
150,1002891118,1713088565,216859782192,13906193,RangerSystem,@DukeOdinson,0,0
619,1002891118,1713000474,216691970400,1823421752,烬白吗,@夜雪雨夜 @齐夏yna @philoch,0,0
523,1002891118,1713011539,216719952560,161333642,伍佰的一半250,这个系列能更新到18集，在座的各位都有责任[doge],1,0
420,1002891118,1713026719,216760058608,351142400,电脑城丶李商隐,啥时候能打出周星驰那一杆,2,1
493,1002891118,1713016191,216732547920,381610622,我是带福金钱报,@中医男科陈广辉 教练怎么评价,0,0
172,1002891118,1713083958,216848955376,628659964,我啊回宿舍,9527啥意思啊,0,0
603,1002891118,1713002027,216695544800,626541691,绿长歌,我一直在想，如果他杆子上有倒刺怎么办,1,0
100,1002891118,1713102968,216896103808,87788530,世留046,@难忘的旋律 @Cherry_C_Ivan @Makarof @椰子clay @Kel2ey @拧发条鸟Akirakaze,2,3
112,1002891118,1713097875,216883229728,492752879,互动抽奖不中决不改名,@-永远的单推人 @HofWhite @无无聊聊君 @噫__我中了 ？,1,1
528,1002891118,1713011099,216718778304,354321899,淦啦,万宁台球🎱[doge],1,0
457,1002891118,1713021639,216747963696,16578208,辣么喜欢你,哥，今年清明没赶上，明年清明我给你带点水果,0,0
109,1002891118,1713098275,216884194176,493511742,黑瀑布,技巧很好，就是费手……,1,0
289,1002891118,1713067027,216808613008,1785176,Bili_17851766666,这些招数只能中午用 因为早晚会出事[辣眼睛],2,0
401,1002891118,1713029611,216764956672,29123174,小尉老师ovo,@寻雾启事啊 啊？？,1,1
463,1002891118,1713020504,216744896864,627425372,难麻,这人绝对玩过万宁台球。,0,0
110,1002891118,1713097991,216883480400,15558522,月眠星野,给他装到了可恶[微笑],0,0
518,1002891118,1713011998,216721219616,349440488,连斩警告,第一个动作我看完视频再看一遍才意识到球碰杆了[笑哭],1,0
487,1002891118,1713018021,216737752160,689631521,悲伤91,@孙逸轰,0,0
247,1002891118,1713073359,216825426032,12421535,灰烬未了,跟着up学桌球，我已经在医院办了十年卡了[OK],1,0
222,1002891118,1713076596,216832876464,598741291,-夜晏-墨子-夜宴-,对手：神金,1,0
597,1002891118,1713002863,216697627456,525216992,风见阳辉,笑死了，之前好像也看过一期还是2期,1,0
520,1002891118,1713011566,216720048432,3546602209807132,来自福州的小盆友,牛[doge],0,0
230,1002891118,1713076004,216831683328,107503152,懶癌重度患者,@我乃是只小熊 好牛逼,0,0
636,1002891118,1712998832,216688155152,3493139348195842,YBY扬,禁止魔法师以打球的名义施展魔法,0,0
11,1002891118,1713187160,217035338528,1242438793,我何時离开天堂,@迷茫de小恐龙 @锅包不肉- [笑哭][笑哭],0,1
234,1002891118,1713075256,216830022528,1890056359,゚゙魅上照,这我学集贸啊,0,0
102,1002891118,1713102392,216894542832,325957055,小赛拉-Yang,"“这是什么玩法”
“哎呀蠢蛋，这是c诺克啦”[OK]",2,0
646,1002891118,1712995979,216682134416,286664128,王之拖孩,每次看到他收杆我都在想如果杆上有倒刺[doge],2,1
