,oid,timestamp,rpid,uid,uname,content,likes,replies
150,1102978276,1713066116,216806301536,398450474,泰拉瑞亚360,@熊出没BoonieBears,0,0
267,1102978276,1713001058,216693271696,3546626119436735,bili_78974556419,1000+出来，2024年4月13,0,0
445,1102978276,1712839680,216417546000,145704492,nyz0620,火起来,4,0
207,1102978276,1713017757,216737090576,510490020,西陵大白,S1的神出没，现在的十年陪伴,0,0
391,1102978276,1712930758,216577533120,218491997,skibidi首席监控剪辑师,太燃了[保佑][doge],2,0
33,1102978276,1713182107,217023245728,1365493911,超级Ojj,@fhzgd 这个被我刷到了,0,0
96,1102978276,1713091267,216866530448,2109451364,别逼我求你复活流萤,4月14日 18:40,0,0
359,1102978276,1712970816,216627654080,500038492,无鱼v7,火起来火起来,0,0
117,1102978276,1713079851,216840043200,3546655135632100,笑梗不笑人5874,甜甜威呢？[doge],0,0
147,1102978276,1713067721,216810531984,178494971,竹恋月,本来是儿童向，现在是热血向,0,0
431,1102978276,1712853828,216452787376,1657535105,ya打上花火,见证历史,1,0
300,1102978276,1712989372,216668514128,1243753399,wanyuchi,比你强的树，我一共砍过五颗，如果阁下只有这种实力的话，可不配生长在那片丛林————只强,0,0
253,1102978276,1713004360,216701607744,1623016541,bili_24105396412,现在是4月13日六点36分，00后留步！ 这就是我们的童年。,0,0
344,1102978276,1712976225,216637850688,3493112599022206,使命召唤第一马,十年之约，此刻以成神话,0,0
350,1102978276,1712975306,216635912256,3546645666990333,呆呆和博士的冷知识,强哥威武[打call],0,0
346,1102978276,1712975840,216637027952,1792562216,嘢_小子,何人在传颂我名,1,0
16,1102978276,1713188528,217038901104,3461569807648825,我要漂白,爷青[大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭]回,1,0
198,1102978276,1713019232,216741295552,379804559,吃花椒的喵酱bill,6,0,0
260,1102978276,1713002509,216696813056,3546629586029493,邦基是吃货,“强哥不发威，当我是病猫啊”（经典）,5,2
23,1102978276,1713185012,217030228272,456380614,大蕊蕊Y,燃起来,0,0
11,1102978276,1713191077,217045503328,1309273984,搞笑酒仙的铁靴子,@熊出没BoonieBears,0,0
189,1102978276,1713021867,216748653776,43514654,吉吉国民开水儿,帅,1,0
122,1102978276,1713078485,216836959600,300095195,复风发,520,0,0
444,1102978276,1712839779,216417667264,1460901466,Govlow,做得好好！！,1,0
223,1102978276,1713014746,216728603744,3493288023689761,keybaord梦悠,熊出没S1赛季主题曲,1,0
229,1102978276,1713013305,216724720432,1503856263,生死狙击双线四服玩家,巅峰斗法。。,0,0
30,1102978276,1713182734,217024824400,388648,山海八荒录,这不比阿凡达燃？！,0,0
22,1102978276,1713185450,217031315312,1469984930,MFan_Office,除了这个我啥都不要[原神_哇][原神_哇][原神_哇],1,0
190,1102978276,1713021794,216748379136,335831763,34220875173_bili,画面精致了，但没之前好看了,0,0
134,1102978276,1713072470,216823151168,1610739166,伟大的革命导师,遇强则强，遇弱则啊,1,0
142,1102978276,1713069550,216815350304,3546663647971546,宇宙高级机甲,我的强哥太牛了[呲牙],0,0
171,1102978276,1713053283,216781464432,1437044671,bili_11383281872,感觉弹幕里好多XXS，本来看个视频挺愉悦的，非要在那一直刷什么“小子”、“银币之力”之类的话，光是这样叫被人就很没礼貌，而且是你做了这个视频吗还要教我们做事。[冷][冷][冷],3,0
441,1102978276,1712843788,216427660160,340741797,莬丶几小子,给爷火,0,0
101,1102978276,1713090805,216865351792,1114692010,-阿力酷-,这不给三连真说不过去[支持],0,1
54,1102978276,1713166021,216988745824,35175532,我在遮盘熟人多,就想问熊出没什么时候出游戏啊,0,0
8,1102978276,1713192477,217049275664,90087177,纳尼兔ni,一进来弹幕全是硬币之力没绷住，看了好多视频都有这个，莫名其妙火了,0,0
182,1102978276,1713025494,216757510432,384929204,apathy的史莱姆猫猫,@少年严_y12ac,0,0
280,1102978276,1712995538,216681180704,1288350894,还我郁金香-,这还是我的童年熊出没吗，赛博风？,0,0
307,1102978276,1712987933,216665484240,508553966,从未迷失,我03的，所以喜羊羊与灰太狼才是我的童年，熊出没只能算半个。[吃瓜],0,0
386,1102978276,1712933482,216584788368,3493142210808119,新时代有志青年z,躺在床上，床都烧起来了[星星眼],164,9
278,1102978276,1712995882,216681904928,3546380121410083,老擎柱子,强哥拿起锯子，我的星辰剑也打不过他,0,0
61,1102978276,1713152593,216961598928,24973696,南天冰云,没想到啊，熊出没在我心里已经成长到了和喜羊羊差不多的高度了,1,0
102,1102978276,1713090511,216864741136,3546382398917509,万恶的chara,"10年后的熊出没
喂，光头强，你在城里过得还好吗？
一点儿也不好，甚至没有一个朋友。
（一头熊抢过电话）那你为什么不回来啊？
因为……
那个承诺吗？
嗯
哎，算了，如果你想这里了，可以随时回来，我和熊二会在老地方等你的。
再见。
再见（电话挂断的忙音）",0,0
0,1102978276,1713199477,217066013776,3546383661402902,龙小尊,童年回忆不应该是电击小子和果宝吗？,0,0
243,1102978276,1713007671,216709986656,347735188,雪迹rain,做得太棒了[打call],0,0
179,1102978276,1713026602,216759814496,674936361,时呈祥月,"秋日团团转后，那个伐木工的故事结束了。之后的电影、tv全是熊大熊二光头强他们仨从小认识这一新设定的后续。
那个留有胡子的光头强，那个在森林与动物们斗智斗勇的光头强，那个整天被李老板催木头的光头强，那个最开始是新邻居的光头强，永远定格在我们的童年。",2,0
2,1102978276,1713194652,217055227248,646733196,bro_David,除了粉丝若智点其他都好,1,0
429,1102978276,1712854779,216454437808,1406207311,烧_仙草の狗,不知道多久关注的了，不过真的很燃[呲牙],2,0
332,1102978276,1712979729,216645389872,3546662473567103,一只被猹涩涩的杉斯,1000+个人正在观看,0,0
74,1102978276,1713109197,216913055120,1541622028,小佳h,保护森林，熊熊有责,0,0
234,1102978276,1713011481,216719743440,455962953,空川星宇,放假回去看到弟弟在看熊出没，索性也去看看，结果一看是天才威抢金元，直接回房耍去了,0,0
409,1102978276,1712920676,216551732048,1504904080,我真的没白鰾,这次一定，必须三连好吧[doge],1,0
376,1102978276,1712939449,216599753392,3494360471570710,CN-柠檬酸,好剪！投币啦！！,2,0
435,1102978276,1712849581,216443294288,3493125412621233,吊门最吊,S1赛季的强哥，又回来啦！,1281,12
353,1102978276,1712974952,216635300608,3546647246145825,迷惑的小曲,投币了，泰裤辣,0,0
256,1102978276,1713003275,216698621456,2931866,iiiiiiiiiiikoo半夏,虽然我知道今年的很好看。但有没有人帮我科普一下，剧场版有哪些比较好看的？,0,3
214,1102978276,1713016474,216733451040,1223362835,创世圣骄,这不直接艾特熊出没官方来评论一下这么牛逼的视频？[打call][打call][打call],1,0
337,1102978276,1712977285,216639996528,3493132842830266,bili_77183355704,1,0,0
356,1102978276,1712973488,216632386464,3546601006041131,信鸽子的话,手上的电锯不是工作而是荣耀，院子里的房子不是住宿而是实验室，致敬伟大的强哥,87,0
221,1102978276,1713014921,216729084448,1106199610,飞鱼安德,我的童年啊，我记得小时候第一部看的动画就是这个,1,0
52,1102978276,1713166183,216988927344,357919701,森林大佬,我觉得加上歌的歌词会更好,0,0
405,1102978276,1712923881,216560038592,1074846820,eve杰尼杰尼,你的强来了[脱单doge],1,0
211,1102978276,1713017331,216735931104,2023422167,杨恩义,一念通天，神魔不惧,0,0
428,1102978276,1712856854,216457175744,489195975,失落的硰岩,准备见证历史,0,0
35,1102978276,1713180076,217018278912,3493088716655192,青芒物语,S1赛季的强哥让人怀念,0,0
348,1102978276,1712975567,216636521664,1010203255,洁柔,燃起来了,2,0
447,1102978276,1712833126,216401980112,432344676,AimHight,[打call][打call][打call],2,0
411,1102978276,1712916130,216540154032,3493282447362476,PAW-Chase,s1赛季强哥简直无敌[打call],31,0
115,1102978276,1713080577,216841626528,3546624932448296,bili_40874927406,S1伴我童年，可惜被削了[藏狐],1,0
