,oid,timestamp,rpid,uid,uname,content,likes,replies
1060,1953013336,1713071334,216820195392,512897571,podnong,来南宁市吃一晚上平西夜市,0,0
359,1953013336,1713116143,216926735840,455736238,李诗山,这个up主是真的强。我和我舍友爬山一天走了30说呢真的很累,0,0
822,1953013336,1713086408,216854624896,36922838,Pafcark,走完就很牛了,0,0
2313,1953013336,1713011284,216719380608,86890146,SAG公益,我最多就走过30公里，以下是我图是证据[吃瓜],1,0
1290,1953013336,1713060526,216793508752,1750834716,windowssr2016,汽车我都干了100km。 屁股疼惨了,0,0
105,1953013336,1713187888,217037179040,274687440,甜怡待人盐亿律己,我也心动了，计划中,0,0
1874,1953013336,1713028202,216762805792,277135438,逆天等于逆朕,别把电子宠物玩坏了啊[吃瓜][吃瓜][吃瓜],0,0
544,1953013336,1713102589,216895203472,1930290,开辟道路的偶然,反正我得走3天，我不行。,0,0
1499,1953013336,1713052596,216780553888,3546619758774712,门玊回,晚上不睡觉啊,0,0
2229,1953013336,1713014057,216726689840,2720957,西園寺狐璃,大哥们下手轻点[笑哭],0,0
145,1953013336,1713181694,217022333248,473308119,冻冰冰的甜橙,张天琪好多人让你去做这个[星星眼][2024],0,0
1768,1953013336,1713031978,216768105664,4039614,我要报警啦,她是不是对一百公里没概念？她一天都走不完20公里[笑哭],0,0
200,1953013336,1713168439,216992828112,168570053,阿哲自律起来,我就在成都 点赞过千我也,0,0
973,1953013336,1713074847,216829008912,48971686,财能解忧,长株潭这段时间有徒步一百公里。好像是两天,0,0
969,1953013336,1713075202,216829848896,270458519,偶人泥土,不要为了流量，做这么多超越自己身体极限的事情，很伤身体,0,0
295,1953013336,1713150616,216957677248,27836577,B站丶JohnWick,挑战去一个新地方就去找个鬼屋玩玩 被所有鬼屋拉黑[嗑瓜子][嗑瓜子][嗑瓜子],0,0
2423,1953013336,1713009659,216715176064,1600225563,爱吃糖果泡影,你太牛了，我的天啊,0,0
1954,1953013336,1713025017,216756430848,34489427,lazy丶seagull,我最高走过三十公里，基本全程不带停的那种，又累又疼,0,0
1188,1953013336,1713066433,216807136368,39277909,鹑火这种ID都有人取,怎么说呢。。100公里真不好走，我之前走过公司组织的活动，总共40公里左右，从早上六点出发走到下午三点多接近四点结束，走完脚上四五个水泡，而且我还拿着一杆旗[笑哭]100公里实在是有点超极限了,0,0
1697,1953013336,1713035094,216771201376,414640913,我是你的可乐吗,热知识：急行军最高纪录，24小时125公里（还有厚重的装备，且不是这好走的沥青马路），致敬先烈。天琪也很不容易了，很棒[鼓掌],0,0
2063,1953013336,1713022192,216749464960,449101721,爱吃糖的赤酱,我只走过武汉一环，骑过上海一环，up确实比我有毅力[tv_流泪],11,1
1787,1953013336,1713031074,216767056704,433663454,fzybt欧克,弹幕里面有大佬，把他找出来吧。,1,1
1893,1953013336,1713027416,216761359568,473301401,就叫5次元,100公里的概念就是袜子不好会磨破。鞋子不合适会起泡,0,0
949,1953013336,1713075938,216831549376,1124989494,哈a_a,休息一会,0,0
1241,1953013336,1713063246,216799540912,29058646,伊亚道君,我走30公里腿都快有自己的意识了，虽然是不停走,0,0
2315,1953013336,1713011248,216719225728,1360040129,名字长会有笨b跟着念,挑战来潮汕一天吃三十种美食,1,0
1064,1953013336,1713071114,216819514448,1998970831,长亭路,挑战一下和刚子当一天男女朋友,0,0
2433,1953013336,1713009574,216715049568,363504453,镜-山涧人家,20公里其实还好，我上学时放夜学走过一个月26公里，1个小时40分钟左右，就是黑灯瞎火吓人,0,0
237,1953013336,1713159361,216977414352,37397795,莹姐是老杨的大姐大,你看这四川来都来了，不徒步个峨眉山？[嗑瓜子],0,0
2230,1953013336,1713013991,216726544736,2144755616,P越努力X越心酸H,咱就是说哈，挑战完能在家好好休息下吗？看up走的我都觉得累了……,0,0
456,1953013336,1713109489,216913676672,416881105,一个苦柚,100公里，户外的都可以称大神[吃瓜],0,0
1386,1953013336,1713057177,216787034464,733078,D了1107个V的小路老师,人的平均走路速度是每小时5公里，一口气走下来，平均20小时,0,0
1863,1953013336,1713028486,216763312144,2762204,阿昂,你们够了啊，别把我家电子宠物玩坏了，天琪你明天挑战吃一天好吃的吧，刚子出钱,0,0
2314,1953013336,1713011248,216719281264,44037455,cb86915908,我的电子宠物有双下巴呢!,0,0
2535,1953013336,1713008930,216713328496,2844235,怀丶英,热知识，马拉松也不过42公里[笑哭],571,14
2326,1953013336,1713011015,216718665328,3434905,约诺的天蓝色,想到了先辈们的长征,0,0
937,1953013336,1713076783,216833279328,440561579,看啥说明书,这是传说的火化了还能剩个嘴的[吃瓜][吃瓜],0,0
1991,1953013336,1713024156,216754313472,503248160,BarbedXt,挑战给自己放一天假吧！[拥抱][拥抱],0,0
101,1953013336,1713188581,217038971952,518943725,gamelife40v,牙：嘴太硬，硌的我疼。,0,0
