,oid,timestamp,rpid,uid,uname,content,likes,replies
225,1903058283,1713066672,216807731616,275648279,呆萌的小远远,这个很帅呀,0,0
40,1903058283,1713115387,216925660416,25519948,吾乃断罪皇女之眷属,好啊好啊,1,0
623,1903058283,1713014370,216727539328,145745638,大胡子浪迹天涯,我这么大的时候，不知道在哪儿玩泥巴呢,55,0
527,1903058283,1713020980,216746208128,361047400,滚啊啊啊啊啊啊aa,"这情不自禁就到顶了
[微笑]",0,0
1,1903058283,1713185186,217030663296,403094679,温柔的前女友-,感觉潮汕那边民俗好多好丰富啊,0,0
496,1903058283,1713022527,216750342288,2093886239,逢星波,这就是小说里面的圣女？,0,0
205,1903058283,1713069419,216815201088,281946003,水泽梦,“传承”,0,0
591,1903058283,1713016640,216733837872,46904383,gaga哥厉害了,羡慕,0,0
423,1903058283,1713028432,216763036624,88573383,面无表情有杀气,好看,0,0
201,1903058283,1713069952,216816522912,12893880,Elvisx7,穿着戏服跳起来好帅,0,0
593,1903058283,1713016579,216733850384,511880198,RorkaLangle,和脚踩孩子走过的英国皇家卫兵一比高下立判。同样是国家的传统还是有区别的。其实要是都按以前的来，咱们的东西可能更坏，但是咱们的民间文化以人为本，与时俱进。,11,9
97,1903058283,1713093921,216873446400,3546631316179630,小丁avuk,这是外国[嗑瓜子][嗑瓜子]逆天了[OK][星星眼],1,0
446,1903058283,1713025513,216757606640,23884782,努力挣钱的二狗,真好呀,0,0
200,1903058283,1713069977,216816546432,343210668,琴朤,[辣眼睛]不务正业 这玩意又不加成绩浪费时间弄这东西   别人家的孩子现在都在学习初中知识了,0,0
556,1903058283,1713019017,216740690128,660023,二向箔降维研究所,好,0,0
320,1903058283,1713053592,216781742752,373908586,星宝可爱捏,社交牛逼正,0,1
612,1903058283,1713014733,216728591328,104696182,河黎有个小纸鸭,开头那里说的就有点过了,0,0
385,1903058283,1713032220,216768411376,1263591020,说好的用户下沉呢,和扭秧歌差不多吧。但是扭秧歌老少皆宜。但是不够时髦已经落后时代了,0,1
399,1903058283,1713030076,216765669344,236005736,赤膀子,之前深圳元宵节说是有英歌舞表演兴冲冲的去看，结果全程没跳，就走路游街[笑哭]有机会还是得去潮汕看下正宗的。,1,3
59,1903058283,1713106396,216905338640,2118114496,bhhhhhhhksjsj,比国足男篮强多了,0,0
56,1903058283,1713106668,216906079616,3546661378853444,祈祷生的希望,对不起打扰到大家了！儿子是我活着的唯一意义，带着满心的无奈和沉重的泪水和大家诉说！我的儿子叫姜奕泽，总是带着灿烂笑容的小男孩，却被两岁确诊癌证，农村q家庭的我深感无力与绝望，进口药物很贵而且没有办法报销！我们已经倾尽了所有积蓄，借遍了亲朋好友，欠下不计其数！依然还差很多，现在已经断p药了，希忘大家可以来看看我们，感激不尽！,1,1
65,1903058283,1713105055,216901774224,41092090,港式鸭屎香菜味鸳鸯,想起那个舞狮的小女孩,1,0
407,1903058283,1713029879,216765398096,49140495,微光姐姐-lillly,总感觉这个舞跳一路会很累人[笑哭],58,2
