,oid,timestamp,rpid,uid,uname,content,likes,replies
104,1253142358,1712985383,216659765456,2125746140,NT别倒霉了,第一个送的哪个区,0,0
57,1253142358,1713029873,216765444128,404296865,轩辕小波,老六的Mate 60 Pro呢[脸红],2,0
94,1253142358,1712993224,216676307344,27091499,百万普通人,这样放外卖会被取消订单的，我试过电话打不通，敲门没人应，放门口拍照。第二天一睡醒罚款18（未送达指定地点）[大哭][大哭]，客服说我点送达5分钟后客户取消订单。申诉不成功，客服说我是放在门口了，没有给到客户手上，不上报联系不上客户，并且钱已经退给客户了无法申诉成功。,22,3
84,1253142358,1712998857,216688214160,395929992,安全着陆的蜉蝣生物,这不比骑摩托的骑士更骑士[吃瓜],0,0
144,1253142358,1712960026,216616995456,40150024,小阿凯阿-,刚跑完夜场 后半夜4小时战况 前一天的就不截了[doge],0,0
25,1253142358,1713103695,216898043088,1634870394,月元x,要是每天给我推这些乐观的视频就好了,1,0
157,1253142358,1712944428,216607809104,314551818,秦城明月汉时关,有时候我去小卖铺买东西的时候就喜欢去老太太的店里，因为你问价格他们真的会比较正常的回答你，不像有些时候年轻的很不耐烦[笑哭],0,0
123,1253142358,1712975650,216636682784,660136103,Portofino0,帅啊,0,0
132,1253142358,1712969793,216626114832,1439699689,無汎,[打call],0,0
109,1253142358,1712982350,216651757184,107937724,蹦蹦pa,说句实话，要是男的直接就下来了，就这些女人老认为别人就应该等她，就应该为她做。,1,0
33,1253142358,1713096632,216880244624,385322834,浮士德布莱泽,我一直以为你是广东人哦，我一直以为你是靓仔的哦,0,0
202,1253142358,1712921282,216553379888,306362422,一猫一狗足矣,送最后一单直接喊成你好下班！,0,0
39,1253142358,1713074368,216827830848,432239620,百分百Exist,现在老六在哪里送外卖,0,0
230,1253142358,1712918831,216547133040,2041271515,废物零号,广西话和重庆人无缝交流[doge],8,0
212,1253142358,1712920049,216550195664,73891028,橘子味的柚子_,[吃瓜]你扔红包的样子很帅喔,0,0
180,1253142358,1712933711,216585342752,599663541,bili_68624253232,那么问题来了，老六最后吃的外卖是谁送的？,0,0
