,oid,timestamp,rpid,uid,uname,content,likes,replies
618,1903026340,1713018066,216737954560,2949966,无聊看壹看,早年还能看到这种质量不错的也就东北往事了,2,0
1393,1903026340,1712935185,216589408224,189684236,安慜,这质量，太高了！,1,0
1063,1903026340,1712974697,216634809136,3840404,SpontaneousPunk,sleepy Joe,0,0
1022,1903026340,1712976433,216638301008,105060749,bittergrey_,@qazzzzz_,1,1
855,1903026340,1712990305,216670481840,1319011858,快救我逃,好像安吉丽娜朱莉,0,0
1441,1903026340,1712925230,216563277456,498868656,赤开团时,我记得好几年前就看过这人的视频，很多很多,0,0
1580,1903026340,1712899190,216507015680,266185552,嫌海,怕自己人知道不该知道的消息？那又怎么样，这一代人都死了，然后新一代人移民过去不就没这事了吗？这都是小问题洒洒水啦,3,0
809,1903026340,1712996961,216684240304,28955567,爱瞌睡的大叔,一眼谣言[傲娇]哪来的tiktok，我从来没见周围人用过，只用过抖音，不过有一说一真的好巧，他俩除了内容不一样图标真的好像哟,8,11
841,1903026340,1712992126,216674058752,370534,bili_370534,要是抖音都是这种短剧，那我宁愿看短视频的好吧。。,131,10
1317,1903026340,1712945609,216609098928,648470611,台鸡电,支持对等制裁,1,0
1116,1903026340,1712973121,216631777056,487091565,眠山栗,@你们麦麸卖得太严重 啊啊啊啊啊啊啊啊啊啊啊啊啊啊,0,0
252,1903026340,1713092037,216868452976,630646000,校草的室友,细糠是细糠[捂眼],0,0
1293,1903026340,1712952204,216614028608,354217448,本怀特不接受征召,诶 他们可以买个梯子翻进来用抖音🤓,2,0
1269,1903026340,1712961257,216617555264,324712810,我就是阿玮,他拿出手机说不不不  我用哔哩哔哩  ！！！ 然后这帮警察把他抛起来说 万岁万岁,0,0
888,1903026340,1712986657,216662674224,661656092,娅家尾气,@Eden_ar 很有意思,2,1
1160,1903026340,1712971221,216628485776,630194120,菠萝那么甜,10个赞扎心了,0,0
417,1903026340,1713064677,216802960800,17824834,冰凌630,大制作,0,0
